Lower lip pit	HP:0000196
1-2 finger syndactyly	None
Bracket epiphysis of the middle phalanx of the 4th finger	None
Bracket shaped end part of the middle bone of the ring finger	None
Abnormality of the proximal phalanx of the 3rd toe	None
Abnormality of the innermost bone of 3rd toe	None
Broad distal phalanx of the 5th toe	None
Broad outermost bone of the 5th toe	None
Wide outermost bone of the little toe	None
Wide outermost bone of the pinkie toe	None
Wide outermost bone of the pinky toe	None
Overlapping fingers	None
Symphalangism, distal	None
Symphalangism affecting the distal phalanges of the hand	None
Synostosis of distal phalanges	None
Fused outermost bones of hand	None
Distal symphalangism of hands	None
Terminal symphalangism	None
Speckled calcification in metaphysis of long bone of upper arm	None
Stippled calcification of humeral metaphysis	None
Absent epiphysis of the 1st metacarpal	None
Absent end part of the 1st long bone of hand	None
Increased bone density of end part of the middle bone of the 3rd toe	None
Ivory epiphysis of the middle phalanx of the 3rd toe	None
Absent end part of the 2nd toe bone	None
Absent epiphyses of the 2nd toe	None
Absent/small toe bones	None
Aplasia/Hypoplasia of the phalanges of the toes	None
Absent/underdeveloped toe bones	None
Little fontanelle	None
Small bregma sutures	None
Microfontanelle	None
Small fontanelle	None
Small soft spot	None
Small cranial sutures	None
Little cranial sutures	None
Curved distal phalanx of the hallux	None
Curved outermost bone of big toe	None
Patchy sclerosis of the middle phalanx of the 2nd toe	None
Uneven increase in bone density in the middle bone of the 2nd toe	None
Calcification of muscles	None
Skeletal muscle calcinosis	None
Painless fractures due to injury	None
Hypoplastic phalanges of the hallux	None
Short phalanx of hallux	None
Short bone of big toe	None
Complete duplication of the proximal phalanges of the hand	None
Complete duplication of the innermost bones of the hand	None
Fused hand bones	None
Synostosis involving bones of the hand	None
Ectrodactyly	None
Cleft hand	None
Lobster claw hand	None
Abnormality of middle 2nd finger phalanx	None
Abnormality of the middle phalanx of the 2nd finger	None
Abnormal middle index finger bone	None
Small and flat posterior skull bones	None
Small and flat posterior fossa of skull	None
Small flat posterior fossa	None
Enlarged end part of long bone of hand	None
Enlarged metacarpal epiphyses	None
Increased bone density in shaft of long bone in upper arm	None
Sclerosis of humeral diaphysis	None
Triangular shaped proximal phalanx of the 2nd toe	None
Triangular shaped innermost 2nd toe bone	None
Frontomalar faciosynostosis	None
Accessory index finger phalanges	None
Pseudoepiphyses of the 2nd finger	None
Weak and soft bones	None
Rickets	None
Wide innermost bone of 3rd toe	None
Broad proximal phalanx of the 3rd toe	None
Curved innermost pinky toe bone	None
Curved proximal phalanx of the 5th toe	None
Curved innermost pinkie toe bone	None
Curved innermost little toe bone	None
Diaphyseal dysplasia	None
Duplication of the distal phalanx of the third toe	None
Partial/complete duplication of the distal phalanx of the 3rd toe	None
Duplication of the outermost bone of the 3rd toe	None
Duplication of the distal phalanx of the 3rd toe	None
Bridged sella turcica	None
Round radial epiphyses	None
Abnormal shape of bones of the lower limbs	None
Abnormality of lower limb bone	None
Abnormal morphology of bones of the lower limbs	None
Abnormal lower limb bone morphology	None
Symphalangism affecting the middle phalanges of the toes	None
Fused middle bones of toes	None
Shoulder flexion contracture	None
Flared wide portion of long bone	None
Metaphyseal flaring	None
Splayed metaphyses	None
Metaphyseal splaying	None
Metaphyseal flaring of long bones	None
marked metaphyseal flaring of long bones	None
Metaphyses flared	None
Flared metaphysis	None
Flared, widened metaphyses	None
Complete duplication of the 1st metatarsal	None
Complete duplication of the 1st long bone of foot	None
Dislocations of the knees	None
Knee dislocation	None
Knee dislocations	None
Finger overgrowth	None
Megalodactyly	None
Macrodactyly	None
Abnormal morphology of ulna	None
Increased bone density of end part of the 3rd toe bone	None
Ivory epiphyses of the 3rd toe	None
Abnormality of the xiphoid process	None
Small epiphysis of the 1st metatarsal	None
Small end part of the 1st long bone of foot	None
Wide radioulnar joints	None
Broad radioulnar joints	None
Abnormality of the calcaneus	None
Abnormal heel bone	None
Wide long bone of foot	None
Widened metatarsal shaft	None
Broad metatarsal	None
Broad metatarsals	None
Aplasia of the middle phalanx of the 4th toe	None
Absent middle bone of 4th toe	None
Abnormality of the trapezoid bone	None
Loss of bladder control	None
Bladder incontinence	None
Urinary incontinence	None
Abdominal discomfort	None
Stomach pain	None
Gastrointestinal pain	None
Pain in stomach	None
Abdominal pain	None
Upset stomach	None
Gastro pain	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Fecal incontinence	None
Bowel incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Arthritic pain	None
Arthralgia	None
Joint pain	None
Arthralgias	None
Joint pains	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Low back pain	None
Lower back pain	None
Muscle pain, exercise-induced	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Exercise-induced muscle pain	None
Arthralgia/arthritis	None
Joint pain/Joint inflammation	None
Costochondral pain	None
Costochondral junction pain	None
Pain in extremities	None
Limb pain	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Fatigue	None
Tiredness	None
Malaise	None
Tired	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Leg pain	None
Lower limb pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Foot pain	None
Asthenia	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Pain in the ear	None
Ear pain	None
Otalgia	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Exercise-induced fatigue	None
Postexertional fatigue	None
Postexertional malaise	None
Exercise-induced malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf muscle pain	None
Calf myalgia	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Encopresis	None
Stool holding	None
Stool soiling	None
Jaw pain	None
Thoracic pain	None
Chest pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Halitosis	None
Foetor ex ore	None
Bad breath	None
Lower jaw pain	None
Mandibular pain	None
Ocular pain	None
Eye pain	None
Epigastrium pain	None
Epigastric pain	None
Fishy odor	None
Fish odor	None
Fish odour	None
Fishy body odor	None
Musty odour	None
Musty odor	None
Vaginal fish odour	None
Vaginal fish odor	None
Dyspepsia	None
Indigestion	None
Body odor	None
Bromhidrosis	None
BO	None
Osmidrosis	None
Body odour	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Vocal cord paresis in severe cases	None
Hoarse voice due to vocal cord paresis	None
Weakness of the vocal cords	None
Vocal cord paresis	None
Inability to move vocal cords	None
Laryngeal paralysis	None
Vocal cord paralysis	None
Abnormality of the voice	None
Voice abnormality	None
Husky voice	None
Hoarse voice	None
Hoarseness	None
Hypernasal voice	None
Hypernasal speech	None
Nasal voice	None
Nasal speech	None
Weak cry	None
Hoarse cry	None
Inability to produce voice sounds	None
Dysphonia	None
High pitched voice	None
High-pitched voice	None
Soft voice	None
Hypophonia	None
Weak voice	None
Aphonia	None
Loss of voice	None
Imperfect vocal cord adduction	None
Pseudobulbar palsy	None
Pseudobulbar syndrome	None
Pseudobulbar paralysis	None
Unilateral vocal cord paralysis	None
Unilateral paralysis of the vocal cord	None
Speech articulation difficulties	None
Abnormally low-pitched voice	None
Laryngeal dystonia	None
Spasmodic dysphonia	None
Bilateral vocal cord paralysis	None
Unilateral vocal cord paresis	None
Bilateral vocal cord paresis	None
Abnormal cry	None
High-pitched cry	None
Staccato cry	None
Abnormal speech prosody	None
Monotonic speech	None
Increased pitch variability of speech	None
Vocal cord dysfunction	None
Hyponasal speech	None
cri de chat-associated cry	None
Cat cry	None
cat-like cry	None
Pneumomediastinum	None
Abnormality of the mediastinum	None
Abnormality of the thoracic cavity	None
Swollen lymph nodes in center of chest	None
Mediastinal lymphadenopathy	None
Type 3 total anomalous pulmonary venous connection	None
Infracardiac total anomalous pulmonary venous connection	None
Anomalous pulmonary venous return	None
Squawks	None
Central apnea	None
Central apnoea	None
Lymphoid interstitial pneumonia	None
Lymphoid interstitial pneumonitis	None
Honeycomb lung	None
Absent/small lungs	None
Absent/underdeveloped lungs	None
Aplasia/Hypoplasia of the lungs	None
Tracheobronchial anomalies	None
Abnormal tracheobronchial morphology	None
Subpleural interstitial thickening	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Hemothorax	None
Decreased forced expiratory flow 25-75%	None
Decreased FEF25-75%	None
Pulmonary granulomatosis	None
Decreased pre bronchodilator forced vital capacity	None
Decreased pre-bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Pleural thickening	None
Absent inner dynein arms	None
Laryngotracheal stenosis	None
Decreased forced vital capacity	None
Reduced FVC	None
Reduced forced vital capacity	None
Cardiorespiratory arrest	None
Laryngeal obstruction	None
Bowing of the vocal cords	None
Bifid epiglottis	None
Transient pulmonary infiltrates	None
Hypertrophy of the pulmonary artery wall	None
Pulmonary arterial medial hypertrophy	None
Abnormal sputum	None
Abnormal sputum morphology	None
Immotile cilia	None
Pleural rub	None
Eosinophilic pulmonary infiltration	None
Pulmonary eosinophilia	None
Pulmonary eosinophilic infiltrate	None
Pulmonary eosinophilic infiltration	None
Recurrent infections due to aspiration	None
Rapid breathing	None
Hyperventilation	None
Total anomalous pulmonary venous return	None
Total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous drainage	None
Interlobular septal thickening on pulmonary HRCT	None
Ectopic respiratory mucosa	None
An abnormal reduction in the amount of air a person can forcefully expel in one second.	None
Reduced forced expiratory volume in one second	None
Pleural mesothelioma	None
Air crescent sign	None
Anomalous origin of right pulmonary artery from ascending aorta	None
Stridor	None
Noisy breathing	None
Lung adenocarcinoma	None
Primary pulmonary dysgenesis, unilateral	None
Unilateral primary pulmonary dysgenesis	None
Hypersensitivity pneumonitis	None
Increased DLCO	None
Increased diffusing capacity	None
Nocturnal under breathing	None
Nocturnal hypopnea	None
Nocturnal hypoventilation	None
Nocturnal slow breathing	None
Abnormality of the pulmonary vasculature	None
Abnormality of the lung blood vessels	None
Sneeze	None
Pulmonary venous hypertension	None
Reduced vital capacity	None
Decreased vital capacity	None
Recurrent bleeding into lungs	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary hemorrhage	None
Signet ring sign	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Pulmonary situs ambiguus	None
Abnormality of the pulmonary artery	None
Abnormality of lung artery	None
Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT	None
Abnormality of the vocal cords	None
Abnormal vocal cord morphology	None
Congenital laryngeal stridor	None
Abnormal respiratory motile cilium physiology	None
Aspirin-induced asthma	None
Hypocapnia	None
Hypocarbia	None
Reduced carbon dioxide in the blood	None
Laryngeal abnormalities	None
Abnormality of the larynx	None
Laryngeal anomalies	None
Pulmonary hemorrhage	None
Intrapulmonary hemorrhage	None
Hypopnea	None
Neoplasia of the pleura	None
Inspiratory stridor	None
Reticular pattern on pulmonary HRCT	None
Partial anomalous pulmonary venous return	None
Partial anomalous pulmonary venous connection	None
Pleural lymphangiectasia	None
Lung fibroma	None
Hypoventilation	None
Under breathing	None
Alveolar hypoventilation	None
Slow breathing	None
Respiratory depression	None
Pulmonic infiltration	None
Pulmonary infiltrates	None
Lung infiltrates	None
Abnormal larynx physiology	None
Loud snoring	None
Heavy snoring	None
Have loud snoring	None
Snores loudly	None
Has loud snoring	None
Abnormal connection between trachea and esophagus	None
Tracheoesophageal fistula	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Respiratory tract infection	None
Respiratory infection	None
Respiratory infections	None
Obstructive lung disease	None
Laryngeal cartilage malformation	None
Vocal impairment, severe, due to laryngeal cartilage abnormalities	None
Cartilaginous ossification of larynx	None
Tracheal diverticulum	None
Diverticulosis of trachea	None
Partial laryngeal atresia	None
Laryngeal webs	None
Laryngeal web	None
Abnormality of the epiglottis	None
Abnormal epiglottis morphology	None
Bronchial neoplasm	None
Pulmonary venous stenosis	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Intraalveolar nodular calcifications	None
Pulmonary venolobar syndrome	None
Scimitar syndrome	None
Scimitar anomaly	None
Pulmonary bulla	None
Anomalous origin of left pulmonary artery from ascending aorta	None
Decreased postbronchodilator forced vital capacity	None
Decreased post bronchodilator forced vital capacity	None
Decreased post-bronchodilator forced vital capacity	None
Frequent upper respiratory infections	None
Recurrent URI	None
Recurrent upper respiratory tract infections	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent colds	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Runny Nose	None
Rhinorrhea	None
Nasal Discharge	None
Cardiac total anomalous pulmonary venous connection	None
Type 2 total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous connection, intracardiac	None
Ground-glass opacification on pulmonary HRCT	None
Muscle weakness between ribs	None
Intercostal muscle weakness	None
progressive respiratory failure	None
Respiratory function loss	None
Respiratory insufficiency	None
Respiratory impairment	None
Wheezing	None
Lithoptysis	None
Abnormal saccharine test	None
Impaired nasal mucociliary clearance	None
Coughing up blood	None
Hemoptysis	None
Coughing up blood or blood-stained mucus	None
Haemoptysis	None
Night gasping	None
Permanent enlargement of the airways of the lungs	None
Bronchiectasis	None
Abnormality on pulmonary function testing	None
Abnormal pulmonary function test	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Neonatal pneumothorax	None
Spontaneous neonatal pneumothorax	None
Acute aspiration pneumonia	None
Shortened outer dynein arms	None
Pulmonary sequestration	None
Cystic lung lesion	None
Desquamative interstitial pneumonitis	None
Peripheral pulmonary vessel aplasia	None
Cheyne-Stokes respiration	None
Periodic respiration	None
Lung tumor	None
Neoplasm of the lung	None
Lung cancer	None
Abnormal tracheal cartilaginous ring	None
Anomalous tracheal cartilage	None
Abnormal pulmonary thoracic imaging finding	None
Abnormal chest radiograph finding (lung)	None
Aplasia/Hypoplasia of the Epiglottis	None
Reduced maximal expiratory pressure	None
Trouble breathing	None
Dyspnea	None
Difficult to breathe	None
Abnormal breathing	None
Breathing difficulty	None
Breathing dysregulation	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormal anterior cricoarytenoid muscle morphology	None
Pulmonary opacity	None
Pulmonary lymphangiectasis	None
Pulmonary lymphangiectasia	None
Abnormal blood gas level	None
Pulmonary cyst	None
Lung cyst	None
Reduced maximal inspiratory pressure	None
Bronchiolectasia	None
Bronchiolectasis	None
Pulmonary situs inversus	None
Pulmonary fat embolism	None
Fat embolism	None
Decreased DLCO	None
Decreased diffusing capacity	None
Neoplasm of the larynx	None
Tracheobronchomalacia	None
Irregular respiratory rhythm	None
Irregular respiration	None
Pulmonary arterial hypertension	None
Pulmonary artery hypertension	None
Increased blood pressure in blood vessels of lungs	None
Primary pulmonary hypertension	None
Pleuropulmonary blastoma	None
Sinusitis, recurrent	None
Recurrent sinus disease	None
Recurrent sinusitis	None
Missing pulmonary artery	None
Absent pulmonary artery	None
Absent lung artery	None
Unilateral lung agenesis	None
Unilateral pulmonary agenesis	None
Tumor of the nose	None
Nose cancer	None
Neoplasm of the nose	None
Nasal neoplasm	None
Nasal tumor	None
Neoplasia of the nose	None
Pleurisy	None
Inflammation of tissues lining lungs and chest	None
Pleuritis	None
Subglottic stenosis	None
Abnormal pulmonary artery morphology	None
Progressive pulmonary function impairment	None
Constrictive bronchiolitis	None
Bronchiolitis obliterans	None
Obliterative bronchiolitis	None
Interstitial pneumonitis	None
Rhonchi	None
Abnormality of the pleura	None
Multiple bilateral pneumothoraces	None
Sleep apnea	None
Sleep apnoea	None
Pauses in breathing while sleeping	None
Pulmonary artery aneurysm	None
Shortened inner dynein arms	None
Episodic upper airway obstruction	None
Interstitial lung disease	None
Interstitial pulmonary abnormality	None
Interstitial pulmonary disease	None
Abnormality in area between air sacs in lung	None
Nodular-perilymphatic pattern on pulmonary HRCT	None
Pulmonary artery atresia	None
Pulmonary atresia	None
Aspiration	None
Pulmonary aspiration	None
Neonatal inspiratory stridor	None
Anteroposteriorly shortened larynx	None
Hypoplastic pulmonary veins	None
Underdeveloped lung veins	None
Respiratory paralysis	None
Alveolar cell carcinoma	None
Centrilobular groundglass opacity	None
Centrilobular groundglass opacification	None
Centrilobular ground-glass opacification on pulmonary HRCT	None
Respiratory insufficiency due to defective ciliary clearance	None
Pulmonary artery sling	None
Transudative pleural effusion	None
Blood clot in artery of lung	None
Pulmonary embolism	None
Bronchitis	None
Absent inner and outer dynein arms	None
Absent respiratory ciliary axoneme radial spokes	None
Mosaic attenuation pattern on pulmonary HRCT	None
Wet lung	None
Pulmonary edema	None
Excess fluid in lungs	None
Pulmonary oedema	None
Lung edema	None
Pneumonia, recurrent	None
Pulmonary infection	None
Recurrent pulmonary infections	None
Pneumonia, recurrent episodes	None
Recurrent pneumonia	None
Pulmonary infections	None
pulmonary infections, recurrent	None
Multiple pulmonary infections	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Elevated pulmonary artery pressure	None
Obstructive sleep apnea	None
Obstructive sleep apnoea	None
Bronchomalacia	None
Cough	None
Coughing	None
Respiratory arrest	None
Breathing cessation	None
Tracheobronchial leiomyomatosis	None
Laryngeal atresia	None
Pulmonary fibrosis	None
Hiccups	None
Recurrent hiccup	None
Hiccup	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccough	None
Pulmonary emphysema	None
Emphysema	None
Hyperoxemia	None
Combined cystic and ground-glass pattern on pulmonary HRCT	None
Insufficient response to short acting pulmonary vasodilator	None
Acute respiratory tract infection	None
Recurrent acute respiratory tract infection	None
Upper respiratory tract issues	None
Abnormality of the upper respiratory tract	None
Weakness of muscles of respiration	None
Abnormality of the pulmonary veins	None
Abnormality of lung veins	None
Functional respiratory abnormality	None
Respiratory problem	None
Abnormal respiration	None
Crackles	None
Rales	None
Crepitations	None
Large cell lung carcinoma	None
Extrapulmonary sequestrum	None
Diaphragmatic sequestrum	None
Exertional dyspnea	None
Diffuse reticular or finely nodular infiltrations	None
Respiratory distress	None
Short of breath	None
Respiratory difficulties	None
Breathing difficulties	None
Difficulty breathing	None
Shortness of breath	None
Obstructive deficit on pulmonary function testing	None
Obstructive deficit on pulmonary function test	None
Reduced FEV1/FVC ratio	None
Abnormality of cricoid cartilage	None
Abnormal cricoid cartilage morphology	None
Chronic lung disease	None
Sudden episodic apnea	None
Apneic episodes in infancy	None
Laryngotracheomalacia	None
Bronchial breath sound	None
Episodic slow breathing	None
Episodic under breathing	None
Episodic hypoventilation	None
Increased activity of mitochondrial respiratory chain	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Oligoclonal T cell expansion	None
Absent Birbeck granules in Langerhans cells	None
Decreased activity of mitochondrial respiratory complexes	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory chain	None
Panhypogammaglobulinemia	None
Panypogammaglobulinemia	None
Premature chromatid separation	None
Elevated IgA	None
Increased serum IgA	None
Increased levels of IgA	None
Elevated serum IgA	None
IgA hypergammaglobulinemia	None
Increased circulating IgA level	None
Reduced fibroblast CD16 level	None
Homer Wright rosette	None
Reduced natural killer cell activity	None
Polyclonal elevation of IgM	None
Flexner-Wintersteiner rosette	None
Abnormality of the cell cycle	None
Cellular hypersensitivity to diepoxybutane	None
Chromosomal breakage induced by mitomycin C	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by crosslinking agents	None
Defective interstrand cross-link repair	None
Monoclonal elevation of IgG heavy chain	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Respiratory complex III deficiency	None
Decreased activity of mitochondrial complex III	None
Cardiomyocyte hypertrophy	None
Myocyte cellular hypertrophy	None
Abnormal cell proliferation	None
Elevated intracellular cystine	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T-cell activation	None
Abnormal T lymphocyte activation	None
Monoclonal elevation of circulating IgA	None
Granular osmiophilic deposits (GROD) in cells	None
Abnormal cardiomyocyte mitochondrial morphology	None
Increased circulating specific IgE antibody	None
Decreased specific antibody response to infection	None
Decreased immunoglobulin level	None
Reduced immunoglobulin levels	None
Decreased antibody level in blood	None
Immunoglobulin deficiency	None
Hypogammaglobulinemia	None
Decreased serum immunoglobulin	None
Abnormality of T cell physiology	None
Abnormal IgD level	None
Increased circulating IgG4 level	None
Decreased specific antibody response to protein vaccine	None
Abnormal delayed hypersensitivity skin test	None
Reduced granulocyte CD59 level	None
Partial IgA deficiency	None
Decreased activity of the pyruvate dehydrogenase complex	None
Pyruvate dehydrogenase complex deficiency	None
Decreased activity of the PDH complex	None
Oligoclonal elevation of circulating IgE	None
Abnormal CD69 upregulation upon TCR activation	None
Decreased CD69 upregulation upon TCR activation	None
Monoclonal elevation of IgG lambda chain	None
Cellular hypersensitivity to mitomycin C	None
Oligoclonal elevation of circulating IgA	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Profound depletion of T4+ lymphocytes	None
Decreased T cell activation	None
Decreased T lymphocyte activation	None
Decreased T-lymphocyte activation	None
Defective T cell activation	None
Decreased T-cell activation	None
Low levels of immunoglobulin A	None
Decreased immunoglobulin A	None
Decreased circulating IgA level	None
Reduced IgA levels	None
Gamma-A globulin deficiency	None
Decreased IgA	None
IgA deficiency	None
Abnormality of cell physiology	None
Abnormal cellular physiology	None
Increased hepatitis B virus antibody level	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Impaired memory B cell generation	None
Abnormal lysosomal morphology	None
Decreased circulating total IgG	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Increased hepatitis A virus antibody level	None
Increased anti-parasite IgE antibody level	None
Abnormality of redox activity	None
Abnormal mitochondrial number	None
Abnormal mitochondrial shape	None
Increased anti-house dust mite IgE antibody level	None
Increased anti-house dust IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Cellular metachromasia	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Abnormal flow cytometry test rest	None
Impaired activated T cell proliferation	None
Impaired cellular adaptive immune response	None
Reduced antigen-specific T cell proliferation	None
Antigen-specific T cell proliferation defect	None
Impaired Ag-specific T cell proliferation	None
Reduced cell surface marker level	None
Transient decreased circulating total IgG	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally	None
'Curvilinear profiles' ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
'curvilinear profiles' ultrastructurally	None
Respiratory complex II deficiency	None
Decreased activity of mitochondrial complex II	None
Reduced fibroblast surface marker level	None
Whole-immunoglobulin paraproteinemia	None
Increased cellular sensitivity to UV light	None
Decreased circulating IgG4 level	None
Lipogranulomatosis	None
Abnormal cell morphology	None
Partial absence of specific antibody response to meningococcus vaccine	None
Abnormal natural killer cell physiology	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Monoclonal hypergammaglobulinemia	None
Paraproteinemia	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Decreased specific antibody response to vaccination	None
Deficiency or absence of cytochrome b(-245)	None
Deficiency or absence of cytochrome b	None
Increased circulating IgG1 level	None
Abnormality of DNA repair	None
IgM heavy chain paraproteinemia	None
Cardiomyocyte mitochondrial proliferation	None
Increased IgG level	None
Increased levels of IgG	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Abnormal IgG level	None
Decreased plasma free carnitine	None
Mitochondrial respiratory chain defects	None
Light-chain paraproteinemia	None
Pineocytomatous rosette	None
Neurocytic rosette	None
Reduced granulocyte CD18 level	None
Decreased specific antibody response to polysaccharide vaccine	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Myocardial sarcomere disarray	None
Myocardial sarcomeric disarray	None
Impaired T cell function	None
T-cell dysfunction	None
Increased level of anti-animal protein IgE antibody	None
Increased anti-animal protein IgE antibody level	None
Monoclonal elevation of intact IgG	None
Monoclonal elevation of IgG kappa chain	None
Defective B cell activation	None
Partial absence of specific antibody response to tetanus vaccine	None
Increased anti-plant product IgE antibody level	None
Abnormality of chromosome condensation	None
Abnormal cardiomyocyte plakoglobin staining	None
Increased anti-insect IgE antibody level	None
Abnormal chromosome morphology	None
Perivascular pseudorosette	None
Increased anti-egg IgE antibody level	None
Polyclonal elevation of circulating IgE	None
IgG heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Hyperglobulinemia	None
Hypergammaglobulinaemia	None
Elevated immunoglobulin levels	None
Increased gamma globulin	None
Raised immunoglobulin levels	None
Increased antibody level in blood	None
Increased serum gamma globulin	None
Increased immunoglobulin level	None
Hypergammaglobulinemia	None
Abnormal B cell proliferation	None
Dysgammaglobulinemia	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Abnormal T cell proliferation	None
Abnormal iron deposition in mitochondria	None
Newborn gammaglobulin deficiency	None
Transient hypogammaglobulinemia of infancy	None
Abnormal oocyte morphology	None
Premature separation of centromeric heterochromatin	None
Abnormal telomere morphology	None
Complete or near-complete absence of specific antibody response to pneumococcus vaccine	None
Reduced granulocyte surface marker level	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Abnormal activity of mitochondrial respiratory chain	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Decreased circulating IgG3 level	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Respiratory complex deficiency, ATPase deficiency	None
Decreased activity of mitochondrial ATP synthase complex	None
Abnormal cellular phenotype	None
Abnormal IgA level	None
'Fingerprint profiles' ultrastructurally in cells	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally	None
Polyclonal elevation of circulating IgA	None
Intranuclear cardiomyocyte mitochondria	None
Defective T cell proliferation	None
Rectilinear profiles ultrastructurally	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Abnormal CD25 upregulation upon TCR activation	None
Abnormal mitochondria in muscle tissue	None
Abnormal mitochondria in muscle	None
Reduced fibroblast CD55 level	None
Absent specific antibody response	None
Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	None
Intraaxonal accumulation of curvilinear profiles	None
Reduced granulocyte CD16 level	None
Abnormal IgM level	None
Agammaglobulinaemia	None
Agammaglobulinemia	None
Decreased circulating total IgA	None
Total immunoglobulin A deficiency	None
Decreased total IgA in blood	None
True ependymal rosette	None
