Pneumomediastinum	HP:0025421
Quincke edema	None
Flat light-brown mark on skin	None
Cafe-au-lait macule	None
Cafe-au-lait spots	None
Cafe-au-lait spot	None
Cafe au lait spots	None
Birthmark	None
Cafe-au-lait macules	None
Apocrine hidrocystoma	None
Abnormality of nasal hair	None
Abnormality of nose hair	None
Harlequin phenomenon	None
Spinal neurofibromas	None
Aquagenic urticaria	None
Unusual dermatoglyphics	None
Hypertrophy of skin of soles	None
Thick skin of soles	None
Complex palmar dermatoglyphic pattern	None
Scalp folds	None
Furrows in thickened skin on top of scalp	None
Thickened folds on top of scalp	None
Thickening of the scalp	None
Cutis verticis gyrata	None
Scalp furrows	None
Cutis gyrata of scalp	None
Indurated skin	None
Stiff skin	None
Pyoderma fistulans significa	None
Smoker's boils	None
Verneuil's disease	None
Acne inversa	None
Hidradenitis suppurativa	None
Upslanting nail	None
Upward angulation of nail	None
Ski jump nail	None
Hordeolum internum	None
Stye of inner eyelid	None
Red bump on inner eyelid	None
Basalioma of the outer ear	None
Neoplasia of the skin	None
Skin cancer (non-melanoma)	None
Neoplasm of the skin	None
Skin cancer	None
Tumor of the skin	None
Dermatological tumors	None
Skin tumors	None
Palmoplantar pustulosis	None
Pustulosis palmaris et plantaris	None
Palmoplantar pustules	None
Pustulosis of palms and soles	None
Nevus comedonicus	None
Hypopigmented streaks	None
Patchy loss of skin color	None
Hypopigmented skin patches	None
Premature graying of body hair	None
Maculopapular exanthema	None
Congenital exfoliative erythroderma	None
Nail disease	None
Abnormality of the nail	None
Dystrophic thickened nails	None
Onychogryposis	None
Thick nail	None
Thickened nails	None
Total alopecia	None
Alopecia totalis	None
Thickening of upper layer of skin	None
Acanthosis	None
Epidermal acanthosis	None
Acanthotic epidermis	None
Nodular melanoma	None
Dysplastic fingernails	None
Fingernail dysplasia	None
Abnormal fingernail development	None
Abnormal eyelash morphology	None
Abnormality of the eyelashes	None
Abnormal eyelashes	None
Eyelash abnormality	None
Abnormality of hairline at back of head	None
Abnormality of the posterior hairline	None
Cutaneous myxoma	None
Hypohidrotic ectodermal dysplasia	None
Multiple birthmarks	None
Multiple flat light-brown marks on skin	None
Multiple cafe-au-lait spots	None
Intermittent generalized erythematous papular rash	None
Skin plaque	None
Widened atrophic scar	None
Hyperpigmented spots	None
Hypermelanotic macule	None
Hyperpigmented macules	None
Hyperpigmented skin patches	None
Poor fingernail formation	None
Dystrophic fingernails	None
Subcutaneous calcification	None
Skin calcification	None
Peripheral Schwannoma	None
Scalp defect	None
Scalp aplasia cutis congenita	None
Defect of scalp	None
Focal absence of scalp tissue	None
Aplasia cutis congenita of scalp	None
Solitary scalp defect	None
Pits around the ear	None
Periauricular fistulas	None
Periauricular earpits	None
Periauricular pits	None
Periauricular skin pits	None
Periauricular sinus	None
Adermatoglyphia	None
Sparse pubic hair	None
sparse to absent pubic hair	None
Decreased sexual hair	None
Follicular pustule	None
Folliculitis	None
Warfarin-induced skin necrosis	None
Cytoid bodies	None
Colloid bodies	None
Hyaline bodies	None
Civatte bodies	None
Colloid bodies of Civatte	None
Erythema of eyelid	None
Eyelid erythema	None
Erythema of the eyelids	None
Pigmentation of eyelids	None
Dark eyelids	None
Hyperpigmentation of eyelids	None
Brown eyelids	None
Pruritis on abdomen	None
Hair loss	None
Alopecia	None
Partial double eyebrow	None
Partial duplication of eyebrows	None
Periarticular subcutaneous nodules	None
Single transverse palmar creases	None
Simian creases	None
Simian line	None
Single transverse palmar crease	None
Simian crease	None
Single palmar creases	None
Transverse palmar crease	None
Single flexion crease	None
Single palmar crease	None
Preauricular hair displacement	None
Projection of scalp hair onto lateral cheek	None
Hair displacement, preauricular, towards lateral cheekbone	None
Hair growing down to cheek	None
Skin papules	None
Papule	None
Papules	None
Whitehead	None
Closed comedo	None
Accumulation of melanosomes in melanocytes	None
Port-wine stain on forehead	None
Nevus flammeus of the forehead	None
Pointed hairline at front of head	None
Pointed frontal hairline	None
Telangiectasia of extensor surfaces	None
Positive pathergy test	None
Abnormality of skin adnexa morphology	None
Abnormal skin appendage	None
Abnormality of epidermal morphology	None
Two rows of eyelashes	None
Double row of eyelashes	None
Extra rows of eyelashes	None
Multiple rows of eyelashes	None
Hyperconvex toenail	None
Hairline peak	None
Hairline point	None
V-shaped frontal hairline	None
Widow's peak	None
Preauricular fibroepithelial polyp	None
Preauricular tag	None
Preauricular tags	None
Skin tag in front of the ear	None
Preauricular skin tags	None
Preauricular skin tag	None
Periauricular skin tag	None
Skin tag on the posterior cheek	None
Preauricular acrochordon	None
Ear tag	None
Excess skin in infancy	None
Redundant skin in infancy	None
Redness of skin or mucous membrane	None
Erythema	None
Thin fingernail	None
Congenital palmoplantar keratosis	None
Surfer's eye	None
Pterygia	None
Pterygium	None
Neoplasm of the nail	None
Nail tumor	None
Subcutaneous nodule	None
Subcutaneous nodules	None
Firm lump under the skin	None
Nodule below the skin	None
Multiple, subcutaneous nodules	None
Growth of abnormal tissue under the skin	None
Pruritis on hand	None
Mucocutaneous candidiasis	None
Chronic candidiasis of mucosa, skin and nails	None
Chronic mucocutaneous candidiasis	None
Sun allergy	None
Polymorphous light eruption	None
Lip pit	None
Generalized hirsutism	None
Excessive hairiness over body	None
Spinal nerve root neurofibromas, symmetric, multiple	None
Symmetric spinal nerve root neurofibromas	None
Blue discoloration of the skin	None
Cyanosis	None
Prominent veins on trunk	None
Hyperconvex thumb nails	None
Tightly curved thumb nail	None
Neck pterygium	None
Neck pterygia	None
Intercrural pterygium	None
Sparse body hair	None
Limited body hair	None
Little body hair	None
Sparse to absent body hair	None
Rough hair texture	None
Coarse hair	None
Coarse hair texture	None
Giant melanosomes in melanocytes	None
Macromelanosomes	None
Acral blistering	None
Three rows of eyelashes	None
Triple row of eyelashes	None
Facial telangiectatic vessels	None
Facial telangiectasia	None
Telangiectasia, facial	None
Alopecia, complete	None
Universal alopecia	None
Alopecia universalis	None
Mongolian blue spot	None
Nonepidermolytic palmoplantar keratoderma	None
Linear IgA deposits along the epidermal basement membrane zone	None
Decreased number of sweat glands	None
Decreased sweat pores	None
Decreased sweat glands	None
Anaplastic carcinoma of the skin	None
Merkel cell cancer of the skin	None
Merkel cell skin cancer	None
Neuroendocrine tumor of the skin	None
Cutaneous APUDoma	None
Neuroendocrine carcinoma of the skin	None
Primary small cell carcinoma of the skin	None
Primary undifferentiated carcinoma of the skin	None
Spontaneous hematomas	None
Abnormality of hair pigmentation	None
Abnormality of hair color	None
Non-itchy hives	None
Non-pruritic urticaria	None
Skin fragility with non-scarring blistering	None
Slow rate of hair growth	None
Slow growing hair	None
Slow speed of hair growth	None
Slow-growing hair	None
Xanthoma of periocular region	None
Xanthelasma palpebrarum	None
Fatty deposits on eyelids	None
Xanthelasma of periocular region	None
Fatty deposits in skin around the eyes	None
Xanthelasma	None
Xanthoma of eyelid	None
Xanthelasma of eyelid	None
Xanthoma	None
Increased fat below the skin in trunk	None
Increased subcutaneous truncal adipose tissue	None
Onychodystrophy	None
Poor nail formation	None
Nail dystrophy	None
Dystrophic nails	None
Abnormality of nail color	None
Abnormality of nail colour	None
Nail dyschromia	None
Poor wound healing	None
Broad eyebrows	None
Broad eyebrow	None
Increased vertical height of eyebrow	None
Flared eyebrow	None
Flared eyebrows	None
Increased vertical width of eyebrow	None
Increased vertical thickness of eyebrow	None
Monobrow	None
Synophris	None
Unibrow	None
Synophrys	None
Abnormal hair morphology	None
Abnormality of the hair shaft	None
Abnormality of the hair	None
Hair abnormality	None
Dilatation of the superficial abdominal veins	None
Dilated superficial abdominal veins	None
Redundant skin over the neck	None
Redundant nuchal skin	None
Redundant skin folds of neck	None
Excess neck skin	None
Redundant neck skin	None
Excessive nuchal skin	None
Excess skin over the neck	None
Dermoid cyst	None
Excessive hairiness	None
Hirsutism	None
White scaly skin	None
White scaling skin	None
Generalized hypopigmentation of hair	None
Dermatitis, Atopic	None
Atopic dermatitis	None
Atopic dermatitis, chronic	None
Baby eczema	None
Oral blistering	None
Oral mucosal blisters	None
Blebs of oral mucosa	None
Blisters of mouth	None
Oral mucosa blisters	None
Bullae of oral mucosa	None
Thin, atrophic scars	None
Sunken or indented skin due to damage	None
Atrophic scars	None
Diffuse slow skin atrophy	None
Absent pubic hair	None
Xerosis	None
Dry skin	None
Oropharyngeal squamous papilloma	None
Increased dermatoglyphic whorls	None
Stretchable chest skin	None
Hyperextensible skin of chest	None
Hyperelastic chest skin	None
Carbuncle	None
Telangiectasia of nasal mucous membrane	None
Spider veins of nasal mucous membrane	None
Nasal mucous membrane telangiectasia	None
Spider veins of mucous membrane of nose	None
Spider veins of mucosa of nose	None
Telangiectasia of mucosa of nose	None
Telangiectasia of mucous membrane of nose	None
Angioectasia of mucosa of nose	None
Nasal mucosa telangiectasia	None
Angioectasia of nasal mucous membrane	None
Angioectasia of mucous membrane of nose	None
Increased thickness of skin epidermis	None
Epidermal hyperkeratosis	None
Perifollicular fibroma	None
Perioral hyperpigmentation	None
Darkening of skin around the mouth	None
Increased pigmentation around the mouth	None
Scaling skin on fingertip	None
Anterior cervical hypertrichosis	None
Hypertrichosis, congenital anterior cervical	None
Congenital cervical hypertrichosis	None
White papule	None
Hypoplastic dermoepidermal hemidesmosomes	None
Erythematous macule	None
Multiple trichilemmomas	None
Multiple trichilemmomata	None
Pyramidal skinfold extending from the base to the top of the nails	None
Wrinkled skin of hands and feet in newborn	None
Neonatal wrinkled skin of hands and feet	None
Blotching pigmentation of the skin	None
Plantar teleangiectasia	None
Teleangiectases of soles	None
Telangiectases of soles	None
Plantar telangiectasia	None
Predominantly epidermal neutrophilic infiltrate	None
Abnormality of secondary sexual hair	None
Hyperpigmented papule	None
Thoracic hypertrichosis	None
Pitted nails	None
Nail pits	None
Nail pitting	None
Fine, reticulate skin pigmentation	None
Absence of eyebrow	None
Aplasia/Hypoplasia of the eyebrow	None
Sparse to absent eyebrows	None
Sparse or absent eyebrows	None
Lack of eyebrow	None
Agenesis of eyebrow	None
Hypotrophic eyebrow	None
Sparse/absent eyebrows	None
Missing eyebrow	None
Bronchitis	None
Abnormal pulmonary artery physiology	None
Sudden episodic apnea	None
Acute bronchitis	None
Orthopnea	None
Early inspiratory crackles	None
Recurrent bronchiolitis	None
Tracheal neoplasm	None
Neoplasm of the trachea	None
Loud snoring	None
Heavy snoring	None
Have loud snoring	None
Snores loudly	None
Has loud snoring	None
Wet lung	None
Pulmonary edema	None
Excess fluid in lungs	None
Pulmonary oedema	None
Lung edema	None
Non-small cell lung carcinoma	None
Non-small cell lung cancer	None
Abnormality of the vocal cords	None
Abnormal vocal cord morphology	None
Cardiac total anomalous pulmonary venous connection	None
Type 2 total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous connection, intracardiac	None
Ground-glass opacification on pulmonary HRCT	None
Subpleural honeycombing	None
Whooping cough	None
Increased pulmonary artery occlusion pressure	None
Increased pulmonary arterial wedge pressure	None
Increased pulmonary capillary wedge pressure	None
Hypoplasia of the epiglottis	None
Hypoplastic epiglottis	None
Recurrent bleeding into lungs	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary hemorrhage	None
Interlobular septal thickening on pulmonary HRCT	None
Oxygen desaturation on exertion	None
O2 desaturation on exertion	None
Pulmonary venolobar syndrome	None
Scimitar syndrome	None
Scimitar anomaly	None
Respiratory infections in early life	None
Lung tumor	None
Neoplasm of the lung	None
Lung cancer	None
Intercostal retractions	None
Chest retractions	None
Abnormality of respiratory circulation	None
Abnormal pulmonary circulation	None
Abnormality of pulmonary circulation	None
Anomalous origin of left pulmonary artery from ascending aorta	None
Primary pulmonary dysgenesis, unilateral	None
Unilateral primary pulmonary dysgenesis	None
Laryngeal calcifications	None
Laryngeal calcification	None
Episodic upper airway obstruction	None
Tracheal duplication cyst	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Large cell lung carcinoma	None
Laryngotracheomalacia	None
Bronchial breath sound	None
Decreased forced expiratory flow 25-75%	None
Decreased FEF25-75%	None
Abnormal nasal mucus secretion	None
Tumor of the pharynx	None
Pharyngeal neoplasm	None
Neoplasm of the pharynx	None
Neoplasia of the pharynx	None
Abnormal larynx morphology	None
Total anomalous pulmonary venous connection, mixed	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connection	None
Bilateral trilobed lungs	None
Functional respiratory abnormality	None
Respiratory problem	None
Abnormal respiration	None
Chronic bronchitis	None
Frequent upper respiratory infections	None
Recurrent URI	None
Recurrent upper respiratory tract infections	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent colds	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Centrilobular groundglass opacity	None
Centrilobular groundglass opacification	None
Centrilobular ground-glass opacification on pulmonary HRCT	None
Congenital bronchial atresia	None
Bronchial atresia	None
Hypoplastic lung	None
Pulmonary hypoplasia	None
Small lung	None
Hypoplastic lungs	None
Underdeveloped lung	None
Lung hypoplasia	None
Pulmonary venous stenosis	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Underdeveloped lung artery	None
Pulmonary artery hypoplasia	None
Underdeveloped pulmonary artery	None
Hyperoxemia	None
Weakness of muscles of respiration	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Continuous diaphragm sign	None
Abnormality of the epiglottis	None
Abnormal epiglottis morphology	None
Peribronchovascular interstitial thickening	None
Cardiorespiratory arrest	None
Aspiration	None
Pulmonary aspiration	None
Decreased pre bronchodilator forced vital capacity	None
Decreased pre-bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Hypopnea	None
Laryngeal stenosis	None
Interstitial pneumonitis	None
Ectopic respiratory mucosa	None
Abnormal response to short acting pulmonary vasodilator	None
Respiratory paralysis	None
Acute infectious pneumonia	None
Hypoplastic pulmonary veins	None
Underdeveloped lung veins	None
Bronchial neoplasm	None
Insufficient response to short acting pulmonary vasodilator	None
Tracheomalacia	None
Floppy windpipe	None
Pulmonary artery vasoconstriction	None
Abnormal ciliary motility	None
Paradoxical breathing	None
Flail chest	None
Paradoxical respiration	None
Progressive pulmonary function impairment	None
Reticulonodular pattern on pulmonary HRCT	None
Lower respiratory tract infections	None
Recurrent chest infections	None
Recurrent lower respiratory tract infections	None
Chronic lung infections	None
Bronchospasm	None
Pulmonary interstitiatial HRCT abnormality	None
Pulmonary interstitial high-resolution computed tomography abnormality	None
Nonproductive cough	None
Dry cough	None
Dry coughing	None
Abnormal DLCO	None
Abnormal transfer factor of the lung for carbon monoxide	None
Abnormal TLCO	None
Abnormal diffusing capacity	None
Hypersensitivity pneumonitis	None
Tracheal diverticulum	None
Diverticulosis of trachea	None
Intermittent hyperventilation	None
Episodic hyperventilation	None
Intermittent overbreathing	None
Abnormal sputum	None
Abnormal sputum morphology	None
Acute severe asthma	None
Status asthmaticus	None
Irregular respiratory rhythm	None
Irregular respiration	None
Obstructive sleep apnea	None
Obstructive sleep apnoea	None
Abnormal spirometry test	None
Lymphangioleiomyomatosis	None
Pulmonary lymphangiomyomatosis	None
Pulmonary myomatosis	None
Squawks	None
Central sleep apnoea	None
Central sleep apnea	None
Reduced maximal inspiratory pressure	None
Alveolar proteinosis	None
Absent central microtubular pair morphology of respiratory motile cilia	None
Scleroderma lung disease	None
Lung disease with systemic sclerosis	None
Scleroderma of lung	None
Bilateral basilar pulmonary fibrosis	None
Night gasping	None
Pulmonary aterial intimal fibrosis	None
Unusual breathing patterns	None
Abnormal respiratory patterns	None
Abnormal pattern of respiration	None
Abnormal central microtubular pair morphology of respiratory motile cilia	None
Tracheal atresia	None
Pulmonary bulla	None
Nocturnal under breathing	None
Nocturnal hypopnea	None
Nocturnal hypoventilation	None
Nocturnal slow breathing	None
Air crescent sign	None
Calcification of the trachea	None
Tracheal ectopic calcification	None
Tracheal calcification	None
Tracheal calcifications	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Elevated pulmonary artery pressure	None
Reduced maximal expiratory pressure	None
COPD	None
Chronic obstructive pulmonary disease	None
Lithoptysis	None
Pulmonary sequestration	None
Cystic lung lesion	None
Abnormal pulmonary lymphatics	None
Smooth septal thickening on pulmonary HRCT	None
Transudative pleural effusion	None
Central hypoventilation	None
Absent inner and outer dynein arms	None
Pulmonary situs inversus	None
Respiratory distress	None
Short of breath	None
Respiratory difficulties	None
Breathing difficulties	None
Difficulty breathing	None
Shortness of breath	None
Neoplasm of the respiratory system	None
Respiratory system tumor	None
Reduced vital capacity	None
Decreased vital capacity	None
Tracheobronchomalacia	None
Bronchodysplasia	None
Central apnea	None
Central apnoea	None
Episodic difficulty breathing	None
Episodic respiratory distress	None
respiratory distress, episodic	None
Lung fibroma	None
Laryngomalacia	None
Softening of voice box tissue	None
Abnormal connection between trachea and esophagus	None
Tracheoesophageal fistula	None
Intralobular interstitial thickening	None
Lung abscess	None
Abnormality of the bronchi	None
Abnormal bronchus morphology	None
Lung adenocarcinoma	None
Laryngeal abnormalities	None
Abnormality of the larynx	None
Laryngeal anomalies	None
Absence of spontaneous respiration	None
Apnea	None
Apneic episodes	None
Apnoea	None
Pleural lymphangiectasia	None
Underdevelopment of the bronical cartilage	None
Bronchial cartilage hypoplasia	None
Sleep apnea	None
Sleep apnoea	None
Pauses in breathing while sleeping	None
Intraalveolar nodular calcifications	None
Respiratory cilia have shortened or absent outer dynein arms	None
Absent/shortened outer dynein arms	None
Abnormal saccharine test	None
Impaired nasal mucociliary clearance	None
Obstructive deficit on pulmonary function testing	None
Obstructive deficit on pulmonary function test	None
Reduced FEV1/FVC ratio	None
Hiccups	None
Recurrent hiccup	None
Hiccup	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccough	None
Parenchymal consolidation	None
Squamous cell lung carcinoma	None
Laryngotracheal stenosis	None
Fibrocystic lung disease	None
Type 3 total anomalous pulmonary venous connection	None
Infracardiac total anomalous pulmonary venous connection	None
Upper respiratory tract issues	None
Abnormality of the upper respiratory tract	None
Decreased peak expiratory flow	None
Pulmonary fibrosis	None
Honeycomb lung	None
Respiratory distress necessitating mechanical ventilation	None
Respiratory failure requiring assisted ventilation	None
Respiratory distress requiring endotracheal intubation	None
Respiratory distress requiring mechanical ventilation	None
Peripheral pulmonary vessel aplasia	None
Absent lung vessels	None
Agenesis of pulmonary vessels	None
Abnormal bronchus physiology	None
Pulmonary cyst	None
Lung cyst	None
Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT	None
Respiratory muscle weakness	None
Decreased respiratory function due to muscle weakness	None
Respiratory insufficiency due to muscle weakness	None
Decreased lung function due to weak breathing muscles	None
Respiratory failure due to muscle weakness	None
Respiratory distress due to muscle weakness	None
Nodular-perilymphatic pattern on pulmonary HRCT	None
Laryngeal cyst	None
Bifid epiglottis	None
Abnormality on pulmonary function testing	None
Abnormal pulmonary function test	None
Transient pulmonary infiltrates	None
Tumor of the nasopharynx	None
Neoplasm of the nasopharynx	None
Nasopharyngeal neoplasm	None
Neoplasia of the nasopharynx	None
Upper airway obstruction	None
Recurrent bronchopulmonary infections	None
Recurrent infections in bronchi and lungs	None
Pulmonary hemorrhage	None
Intrapulmonary hemorrhage	None
Decreased post bronchodilator forced expiratory volume in one second	None
Decreased post-bronchodilator forced expiratory volume in one second	None
Decreased postbronchodilator forced expiratory volume in one second	None
Inspiratory crackles	None
Abnormality of the pulmonary artery	None
Abnormality of lung artery	None
Abnormal blood carbon dioxide level	None
Abnormal CO2 levels in blood	None
Interstitial lung disease	None
Interstitial pulmonary abnormality	None
Interstitial pulmonary disease	None
Abnormality in area between air sacs in lung	None
Abnormal pulmonary artery morphology	None
Abnormality of cricoid cartilage	None
Abnormal cricoid cartilage morphology	None
Tree-in-bud pattern	None
Abnormal aryepiglottic folds	None
Abnormality of the aryepiglottic fold	None
Lymphoid interstitial pneumonia	None
Lymphoid interstitial pneumonitis	None
Paroxysmal sneezing	None
Acute aspiration pneumonia	None
Tracheal disease	None
Abnormality of the trachea	None
Abnormal trachea morphology	None
Anomalous pulmonary venous return	None
Inspiratory stridor	None
Decreased forced vital capacity	None
Reduced FVC	None
Reduced forced vital capacity	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Black lung pattern on pulmonary HRCT	None
Decreased attenuation pattern on pulmonary HRCT	None
Abnormality of pulmonary situs	None
Abnormal pulmonary situs morphology	None
Pulmonary paraglioma	None
Absent/small lungs	None
Absent/underdeveloped lungs	None
Aplasia/Hypoplasia of the lungs	None
Recurrent sinus and lung infections	None
Chronic sinopulmonary infection	None
Recurrent sinopulmonary infections	None
Nasal flaring	None
Cystic pattern on pulmonary HRCT	None
Pharyngitis, recurrent	None
Recurrent sore throat	None
Recurrent pharyngitis	None
Pulmonary arterial hypertension	None
Pulmonary artery hypertension	None
Increased blood pressure in blood vessels of lungs	None
Primary pulmonary hypertension	None
Apical pleural thickening	None
Apical cap	None
Apical pulmonary opacity	None
Nodular-random pattern on pulmonary HRCT	None
Neonatal inspiratory stridor	None
Abnormal respiratory epithelium morphology	None
Pleural mesothelioma	None
Abnormally shaped lung	None
Abnormality of the lungs	None
Abnormal lung morphology	None
Unusal lung shape	None
Abnormality of lung morphology	None
Lung disease	None
Intermittent hyperpnea at rest	None
Pulmonary bleb	None
Pulmonary granulomatosis	None
Stiff lung or chest wall causing decreased lung volume	None
Restrictive ventilatory defect	None
Restrictive lung disease	None
Pleural thickening	None
Reduced granulocyte CD18 level	None
Decreased plasma free carnitine	None
Abnormal activity of mitochondrial respiratory chain	None
Abnormal telomere morphology	None
Granular osmiophilic deposits (GROD) in cells	None
Increased anti-nut food product IgE antibody level	None
Defective DNA repair after ultraviolet radiation damage	None
Decreased circulating total IgA	None
Total immunoglobulin A deficiency	None
Decreased total IgA in blood	None
Cellular hypersensitivity to mitomycin C	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Reduced granulocyte CD59 level	None
Thin zona pellucida	None
IgM heavy chain paraproteinemia	None
Decreased immunoglobulin level	None
Reduced immunoglobulin levels	None
Decreased antibody level in blood	None
Immunoglobulin deficiency	None
Hypogammaglobulinemia	None
Decreased serum immunoglobulin	None
IgE deficiency	None
Decreased circulating total IgE	None
Decreased IgE	None
Cardiomyocyte inclusion bodies	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Radiation-induced chromosome instability	None
Alpha heavy chain disease	None
IgA heavy chain paraproteinemia	None
Decreased activity of mitochondrial respiratory complexes	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory chain	None
Decreased activity of 3-hydroxyacyl-CoA dehydrogenase	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Abnormal oocyte morphology	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Immunoglobulin IgG2 deficiency	None
Decreased circulating IgG2 level	None
Reduced IgG2 levels	None
Abnormal lymphocyte proliferation	None
Monoclonal elevation of IgG lambda chain	None
Abnormal IgG level	None
Increased activity of mitochondrial respiratory chain	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Deficient excision of UV-induced pyrimidine dimers in DNA	None
Increased lymphocyte apoptosis	None
Abnormal cellular phenotype	None
Increased anti-dust mite IgE antibody level	None
Increased level of anti-dust mite IgE antibody	None
Defective T cell proliferation	None
Decreased circulating IgG subclass level	None
Mitochondrial respiratory chain defects	None
Increased susceptibility to spontaneous sister chromatid exchange	None
Chronic decreased circulating total IgG	None
Increased circulating IgG1 level	None
Flexner-Wintersteiner rosette	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Reduced reactive oxygen species production in neutrophils	None
Low levels of immunoglobulin A	None
Decreased immunoglobulin A	None
Decreased circulating IgA level	None
Reduced IgA levels	None
Gamma-A globulin deficiency	None
Decreased IgA	None
IgA deficiency	None
3-Methylglutaconic aciduria	None
3-Methylglutaconicaciduria	None
Premature separation of centromeric heterochromatin	None
Abnormality of mucopolysaccharide metabolism	None
IgG heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
Decreased specific antibody response to vaccination	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Increased anti-fungal IgE antibody level	None
High frequency of chromosome breaks in lymphocytes	None
Chromosome breakage	None
Multiple chromosomal breaks	None
Increased chromosomal breakage	None
Tendency to chromosomal breakage	None
Increased chromosomal breakage rate	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Intracellular accumulation of autofluorescent lipopigment storage material	None
Abnormality of DNA repair	None
Absent Birbeck granules in Langerhans cells	None
Increased cellular sensitivity to UV light	None
Abnormal lymphocyte apoptosis	None
Increased hepatitis A virus antibody level	None
Reduced fibroblast CD16 level	None
Abnormal immunoglobulin concentration	None
Abnormal serum immunoglobulin concentration	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal serum level of immunoglobulin	None
Decreased plasma total carnitine	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormality of redox activity	None
Respiratory complex I deficiency	None
Decreased activity of mitochondrial complex I	None
Decreased circulating IgG1 level	None
Increased level of anti-animal protein IgE antibody	None
Increased anti-animal protein IgE antibody level	None
Increased anti-animal dander IgE antibody level	None
Increased level of anti-dander IgE antibody	None
Abnormality of lysosomal metabolism	None
Increased anti-insect IgE antibody level	None
Increased anti-egg IgE antibody level	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Homer Wright rosette	None
Specific antibody deficiency	None
Decreased circulating level of specific antibody	None
Decreased specific antibody in blood	None
Increased anti-plant product IgE antibody level	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Impaired T cell function	None
T-cell dysfunction	None
Oligoclonal T cell expansion	None
Reduced cell surface marker level	None
Decreased circulating IgG4 level	None
Abnormal IgD level	None
Increased hepatitis B virus antibody level	None
Increased circulating IgG4 level	None
Partial absence of specific antibody response to tetanus vaccine	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Reduced granulocyte CD55 level	None
Increased circulating specific IgE antibody	None
Abnormal mitochondria in muscle tissue	None
Abnormal mitochondria in muscle	None
Increased circulating total IgE level	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Elevated serum IgE	None
Abnormality of chromosome segregation	None
Abnormal natural killer cell physiology	None
Light-chain paraproteinemia	None
Folate-dependent fragile site at Xq28	None
Perivascular pseudorosette	None
Abnormal cardiomyocyte plakoglobin staining	None
Transient decreased circulating total IgG	None
Polyclonal elevation of circulating IgG	None
Monoclonal elevation of IgG light chain	None
Abnormal T cell proliferation	None
Decreased specific antibody response to protein vaccine	None
Defective B cell activation	None
Monoclonal elevation of IgG kappa chain	None
Cardiomyocyte hypertrophy	None
Myocyte cellular hypertrophy	None
Abnormal cell morphology	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Mitochondrial lysine transport defect	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Abnormality of chromosome stability	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally	None
'Curvilinear profiles' ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
'curvilinear profiles' ultrastructurally	None
