Abnormality of the breast	HP:0000769
Localized area of pendulous skin	None
Dermal translucency	None
Translucent skin	None
Precociously senile appearance	None
Prematurely aged appearance	None
Umbilicated nodule	None
Few cafe-au-lait spots	None
Linear IgG deposits along the epidermal basement membrane zone	None
Late onset baby eczema	None
Late onset atopic dermatitis	None
Generalized papillary lesions	None
Paraspinal neurofibromas	None
Cyanotic episode	None
Fibrofolliculomas	None
Fibrofolliculoma	None
Dense eyebrow	None
Prominent eyebrows	None
Bushy eyebrows	None
Hypertrichosis of the eyebrow	None
Hypertrichosis of the eyebrows	None
Thick eyebrow	None
Heavy eyebrows	None
Thick eyebrows	None
Junctional split	None
Subepidermal blistering with cleavage in the lamina lucida	None
Punctate palmoplantar hyperkeratosis	None
Generalized seborrheic eczema	None
Generalized seborrheic dermatitis	None
Morbilliform rash	None
Periorbital wrinkling	None
Periorbital rhytids	None
Periorbital wrinkles	None
Wrinkles around the eyes	None
Excess periorbital skin wrinkling	None
Macular hyperpigmented dermopathy	None
Ecchymoses	None
Ecchymosis	None
Inflammatory skin disease	None
Inflammatory abnormality of the skin	None
Dermatitis	None
Skin inflammation	None
Abnormal tendency to infections of the skin	None
Hyperpigmented papule	None
Molluscum contagiosum	None
Neoplasm of the nail	None
Nail tumor	None
Perioral hyperpigmentation	None
Darkening of skin around the mouth	None
Increased pigmentation around the mouth	None
Sawtoothed acanthosis	None
Sawtooth acanthosis	None
Congenital abnormal hair pattern	None
Abnormal hair pattern since birth	None
Deep plantar creases	None
Deep wrinkles in soles of feet	None
Generalized hypopigmentation of hair	None
Single trichilemmoma	None
Perifolliculitis	None
Perifollicular inflammation	None
Vascular abnormalities restricted to skin	None
Vascular skin abnormality	None
Skin vascular malformation	None
Aplasia cutis congenita on trunk or limbs	None
Thickened elastic fibers in the dermis	None
Physical urticaria	None
White discoloration of nails	None
Leukonychia	None
Numerous pigmented freckles	None
Hyperpigmented nevi and streak	None
Abnormal pigmentation in sun-exposed skin	None
Pigmentation anomalies of sun-exposed skin	None
Blood spots	None
Purpura	None
Red or purple spots on the skin	None
Connective tissue nevi	None
Reticular pigmentation pattern	None
Reticulated skin pigmentation	None
Reticulate skin pigmentation	None
Increased dermatoglyphic whorls	None
Partial double eyebrow	None
Partial duplication of eyebrows	None
Skin adnexal neoplasm	None
Skin appendage neoplasm	None
Skin adnexal tumor	None
Monobrow	None
Synophris	None
Unibrow	None
Synophrys	None
Progressive systemic scleroderma	None
Pseudoscleroderma	None
Scleroderma	None
Hyperkeratosis follicularis	None
Follicular hyperkeratosis	None
Three rows of eyelashes	None
Triple row of eyelashes	None
Hyperkeratosis with erythema	None
Intermittent generalized erythematous papular rash	None
Mottled skin coloring	None
Stippled pigmentation	None
Mottled pigmentation	None
Multiple plantar creases	None
Rough hair texture	None
Coarse hair	None
Coarse hair texture	None
Lack of eyebrow arch	None
Straight eyebrows	None
Lack of eyebrow curvature	None
Straight eyebrow	None
Horizontal eyebrow	None
Flat eyebrow	None
Low frontal hairline	None
Low-set frontal hairline	None
Low anterior hairline	None
Abnormal hair laboratory examination	None
Slow-growing nails	None
Missing eyelashes	None
Loss of eyelashes	None
Eyelashes fell out	None
Ciliary Madarosis	None
Milphosis	None
Aplasia cutis congenita over parietal area	None
Absent cutis congenita over parietal area	None
Melanoderma	None
Patchy darkened skin	None
Skin hyperpigmentation	None
Cutaneous hyperpigmentation	None
Hyperpigmentation of the skin	None
Melanodermia	None
Hyperpigmented lesion	None
Increased skin pigmentation	None
Abnormality of epidermal morphology	None
Partial to total absence of eyelashes	None
Sparse to absent eyelashes	None
Sparse or absent eyelashes	None
Regional abnormality of skin	None
Acanthosis nigricans	None
Darkened and thickened skin	None
Keratosis nigricans	None
Abnormality of hair density	None
Macular hypopigmented whorls, streaks, and patches	None
Flushing	None
Palmar pits	None
Hyperpigmented/hypopigmented macules	None
Proximal scleroderma	None
Toenail onycholysis	None
Onycholysis of toenails	None
Detachment of toenails	None
Congenital bullous ichthyosiform erythroderma	None
Bullous congenital ichthyosiform erythroderma	None
Epidermolytic hyperkeratosis	None
Axillary pterygia	None
Axillary pterygium	None
Palmoplantar pustulosis	None
Pustulosis palmaris et plantaris	None
Palmoplantar pustules	None
Pustulosis of palms and soles	None
Perifollicular fibroma	None
Orthokeratosis	None
Thin hair shaft	None
Thinned hair	None
Fine hair shaft	None
Fine hair texture	None
Fine hair	None
Thin hair texture	None
Thin hair	None
Palmar edema	None
Gottron's papules	None
Gottron papules	None
Basal cell nevus	None
Basal cell epithelioma	None
Basal cell carcinomas	None
Basalioma	None
Basal cell carcinoma	None
Paramedian lip pit	None
Paramedian labial pits	None
Aplasia of the fingernail	None
Absent fingernail	None
Anonychia of fingernails	None
Hypopigmented macule	None
Striae atrophicae	None
Purplish striae	None
Striae cutis distensae	None
Striae	None
Striae distensae	None
Stretch marks	None
Aplasia cutis congenita of vertex	None
Aplasia cutis congenita over the scalp vertex	None
Absent cutis congenita of vertex	None
Flat wart	None
Verruca plana	None
Absent sebaceous glands	None
Absence of sebaceous glands	None
Excessive wrinkling of palmar skin	None
Redundant, wrinkled skin of palms	None
Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	None
Caput medusae	None
Palm tree sign	None
Generalized ichthyosis	None
Lichenoid skin lesion	None
Yellow nodule	None
Prominent superficial vasculature	None
Prominent superficial blood vessels	None
Poikiloderma	None
Subcutaneous nodule	None
Subcutaneous nodules	None
Firm lump under the skin	None
Nodule below the skin	None
Multiple, subcutaneous nodules	None
Growth of abnormal tissue under the skin	None
Whitehead	None
Closed comedo	None
Laterally curved eyebrow	None
Excessive hairiness	None
Hirsutism	None
Lingual angioectasias	None
Spider veins of the tongue	None
Lingual telangiectasia	None
Tongue telangiectasia	None
Angioectasias of the tongue	None
Tiger-tail banding	None
Onychogryposis of fingernail	None
Overgrowth and curving of fingernail	None
Progressive hyperpigmentation	None
Disseminated dermatophytosis	None
Skin fragility	None
Fragile skin	None
Abnormal number of hair whorls	None
Supernumary hair swirls	None
Extra hair whorl	None
Extra hair swirls	None
Abnormal number of hair swirls	None
Double crown (hair whorls)	None
Supernumary hair whorl	None
Reduced terminal:vellus ratio	None
Digital ulcer	None
Yellow subcutaneous tissue covered by thin, scaly skin	None
Abnormal terminal:vellus ratio	None
Increased lateral length of eyebrow	None
Laterally extended eyebrows	None
Laterally extended eyebrow	None
Laterally elongated eyebrow	None
Palmoplantar erythema	None
Nikolsky's sign	None
Acantholysis	None
Hyperconvex toenail	None
Heliotrope rash of eyelid	None
Lack of sweating or excessive sweating	None
Hypohidrosis or hyperhidrosis	None
Jaundice	None
Yellowing of the skin	None
Icterus	None
Yellow skin	None
Narrow nail	None
Bull's eye rash	None
Chalazion	None
Meibomian gland lipogranuloma	None
Ichthyosis	None
Ichthyosiform abnormality of the skin	None
Ichthyotic skin	None
Hypertrophic ichthyosis	None
Tufted hairs	None
Perifollicular erythema	None
Atypical scarring	None
Atypical scarring of skin	None
Hidrotic ectodermal dysplasia	None
Patchy hypopigmentation of hair	None
Solar urticaria	None
Malalignment of the great toenail	None
Plantar crease between first and second toes	None
Myxoid subcutaneous tumors	None
Facial erythema	None
Blushed cheeks	None
Rosacea	None
Red face	None
Red in the face	None
Blushing	None
Ruddy face	None
Koenen tumor	None
Koenen's tumor	None
Ungual fibroma	None
Periungual fibroma	None
Parungual fibromas	None
Itchy feet	None
Itchy foot	None
Pruritus on foot	None
Sparse eyebrow	None
Hypotrichosis of eyebrow	None
Sparse eyebrows	None
Neurofibromata	None
multiple neurofibromas	None
Neurofibromatosis	None
Neurofibromas	None
Mediosternal, longitudinal streak of hypopigmentation	None
Long upper eyelashes	None
Ciliary trichomegaly of upper eyelashes	None
Increased length of upper eyelashes	None
Psoriasiform dermatitis	None
Psoriasis	None
Thin nail	None
Thin nails	None
Early balding	None
Recurrent sinus and lung infections	None
Chronic sinopulmonary infection	None
Recurrent sinopulmonary infections	None
Circumoral cyanosis	None
Trouble breathing	None
Dyspnea	None
Upper respiratory tract issues	None
Abnormality of the upper respiratory tract	None
Bowing of the vocal cords	None
Pulmonary pneumatocoele	None
Pulmonary pneumatocele	None
Neonatal breathing dysregulation	None
Impaired breathing in newborn	None
Sudden episodic apnea	None
Abnormal connection between trachea and esophagus	None
Tracheoesophageal fistula	None
Tracheomalacia	None
Floppy windpipe	None
progressive respiratory failure	None
Respiratory function loss	None
Respiratory insufficiency	None
Respiratory impairment	None
Central hypoventilation	None
Pulmonary artery sling	None
Pulmonary granulomatosis	None
Central sleep apnoea	None
Central sleep apnea	None
Cyanotic episode	None
Abnormal subpleural morphology	None
Hyperoxemia	None
Abnormal tracheal cartilaginous ring	None
Anomalous tracheal cartilage	None
Peribronchovascular interstitial thickening	None
Pulmonary interstitiatial HRCT abnormality	None
Pulmonary interstitial high-resolution computed tomography abnormality	None
Pulmonary artery aneurysm	None
Abnormal pulmonary lymphatics	None
Exertional dyspnea	None
Tracheobronchomalacia	None
Neonatal inspiratory stridor	None
Hypoplastic lung	None
Pulmonary hypoplasia	None
Small lung	None
Hypoplastic lungs	None
Underdeveloped lung	None
Lung hypoplasia	None
Nasal flaring	None
Abnormal respiratory system morphology	None
Anomalous origin of right pulmonary artery from ascending aorta	None
Subpleural honeycombing	None
Obstructive sleep apnea	None
Obstructive sleep apnoea	None
Pulmonary arteriovenous malformation	None
Pulmonary av malformation	None
Chylothorax	None
Non-small cell lung carcinoma	None
Non-small cell lung cancer	None
Congenital cystic disease of the lung	None
CCAM	None
Cystic adenomatoid lung disease	None
Congenital cystic adenomatoid malformation of the lung	None
Pulmonary artery vasoconstriction	None
Underdeveloped lung artery	None
Pulmonary artery hypoplasia	None
Underdeveloped pulmonary artery	None
Abnormal pulmonary thoracic imaging finding	None
Abnormal chest radiograph finding (lung)	None
Subpleural interstitial thickening	None
Squawks	None
Pulmonary situs inversus	None
Crazy paving pattern on pulmonary HRCT	None
Anomalous origin of one pulmonary artery from ascending aorta	None
Hemitruncus	None
Lung fibroma	None
Abnormality of the pulmonary vasculature	None
Abnormality of the lung blood vessels	None
Acute respiratory tract infection	None
Recurrent acute respiratory tract infection	None
Decreased post bronchodilator forced expiratory volume in one second	None
Decreased post-bronchodilator forced expiratory volume in one second	None
Decreased postbronchodilator forced expiratory volume in one second	None
Decreased forced expiratory flow 25-75%	None
Decreased FEF25-75%	None
Bronchogenic cyst	None
Laryngeal stidor	None
Laryngeal stridor	None
Pneumothorax	None
Collapsed lung	None
Permanent enlargement of the airways of the lungs	None
Bronchiectasis	None
Peripheral pulmonary artery stenosis	None
Peripheral pulmonic stenosis	None
Narrowing of peripheral lung artery	None
peripheral pulmonary stenosis	None
Pulmonary cyst	None
Lung cyst	None
Unusual breathing patterns	None
Abnormal respiratory patterns	None
Abnormal pattern of respiration	None
Bronchiolitis	None
Tracheobronchmegaly	None
Extralobar sequestration	None
Abnormality on pulmonary function testing	None
Abnormal pulmonary function test	None
Intrapulmonary sequestration	None
Bilateral pulmonary agenesis	None
Bilateral lung agenesis	None
Absent lungs	None
Upper airway obstruction	None
Shortened inner dynein arms	None
Mosaic attenuation pattern on pulmonary HRCT	None
Abnormal blood gas level	None
Abnormal pulmonary artery physiology	None
Abnormal respiratory motile cilium morphology	None
Pulmonary fat embolism	None
Fat embolism	None
Bronchiolectasia	None
Bronchiolectasis	None
Honeycomb lung	None
Neonatal pneumothorax	None
Spontaneous neonatal pneumothorax	None
Laryngeal cleft	None
Laryngotracheal cleft	None
Laryngotracheoesophageal cleft i	None
An abnormal reduction in the amount of air a person can forcefully expel in one second.	None
Reduced forced expiratory volume in one second	None
Nodular-random pattern on pulmonary HRCT	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Muscle weakness between ribs	None
Intercostal muscle weakness	None
Ciliary dyskinesia	None
Hypocapnia	None
Hypocarbia	None
Reduced carbon dioxide in the blood	None
Laryngotracheomalacia	None
Interlobular septal thickening on pulmonary HRCT	None
Reduced maximal expiratory pressure	None
Pulmonary arterial atherosclerosis	None
Paroxysmal sneezing	None
Subglottic stenosis	None
Alveolar proteinosis	None
Absent outer dynein arms	None
Recurrent bleeding into lungs	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary hemorrhage	None
Recurrent streptococcus pneumoniae infections	None
Rapid breathing	None
Hyperventilation	None
Tumor of the pharynx	None
Pharyngeal neoplasm	None
Neoplasm of the pharynx	None
Neoplasia of the pharynx	None
Absent/shortened dynein arms	None
Atelectasis	None
Pulmonary atelectasis	None
Partial or complete collapse of part or entire lung	None
Pulmonary artery atresia	None
Pulmonary atresia	None
Hypercapnia	None
High blood carbon dioxide level	None
Hypercarbia	None
Abnormal pulmonary vein physiology	None
Tumor of the nose	None
Nose cancer	None
Neoplasm of the nose	None
Nasal neoplasm	None
Nasal tumor	None
Neoplasia of the nose	None
Aplasia of the epiglottis	None
Absent epiglottis	None
Bronchomegaly	None
Abnormal ciliary motility	None
Night gasping	None
Bronchial neoplasm	None
Abnormality of the epiglottis	None
Abnormal epiglottis morphology	None
Respiratory distress necessitating mechanical ventilation	None
Respiratory failure requiring assisted ventilation	None
Respiratory distress requiring endotracheal intubation	None
Respiratory distress requiring mechanical ventilation	None
Tracheomegaly	None
Laryngeal abnormalities	None
Abnormality of the larynx	None
Laryngeal anomalies	None
Neoplasm of the larynx	None
Intermittent episodes of respiratory insufficiency due to muscle weakness	None
Cardiac total anomalous pulmonary venous connection	None
Type 2 total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous connection, intracardiac	None
Blue discoloration of the skin	None
Cyanosis	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormal bronchus physiology	None
COPD	None
Chronic obstructive pulmonary disease	None
Spontaneous pneumothorax	None
Spontaneous collapsed lung	None
Intralobular interstitial thickening	None
Intraalveolar nodular calcifications	None
Laryngeal calcifications	None
Laryngeal calcification	None
Recurrent infections due to aspiration	None
Decreased post-bronchodilator forced expiratory flow 25-75%	None
Decreased postbronchodilator forced expiratory flow 25-75%	None
Decreased post-bronchodilator FEF25-75%	None
Decreased post bronchodilator forced expiratory flow 25-75%	None
Hypoxemia	None
Low blood oxygen level	None
Decreased pulmonary function	None
Impaired lung function	None
Decreased lung function	None
Impaired pulmonary function	None
Acute aspiration pneumonia	None
Abnormality of pulmonary situs	None
Abnormal pulmonary situs morphology	None
Respiratory cilia have shortened or absent outer dynein arms	None
Absent/shortened outer dynein arms	None
Pulmonary situs ambiguus	None
Partial laryngeal atresia	None
Laryngeal webs	None
Laryngeal web	None
Lower respiratory tract infections	None
Recurrent chest infections	None
Recurrent lower respiratory tract infections	None
Chronic lung infections	None
Eosinophilic pulmonary infiltration	None
Pulmonary eosinophilia	None
Pulmonary eosinophilic infiltrate	None
Pulmonary eosinophilic infiltration	None
Tumor of the nasopharynx	None
Neoplasm of the nasopharynx	None
Nasopharyngeal neoplasm	None
Neoplasia of the nasopharynx	None
Bronchodysplasia	None
Continuous diaphragm sign	None
Combined cystic and ground-glass pattern on pulmonary HRCT	None
Pleurisy	None
Inflammation of tissues lining lungs and chest	None
Pleuritis	None
Calcification of the trachea	None
Tracheal ectopic calcification	None
Tracheal calcification	None
Tracheal calcifications	None
Obstructive deficit on pulmonary function testing	None
Obstructive deficit on pulmonary function test	None
Reduced FEV1/FVC ratio	None
Laryngeal obstruction	None
Pleural lymphangiectasia	None
Pleuropulmonary blastoma	None
Recurrent bronchitis	None
Bronchitis, recurrent	None
Lymphoid interstitial pneumonia	None
Lymphoid interstitial pneumonitis	None
Recurrent bronchopulmonary infections	None
Recurrent infections in bronchi and lungs	None
Cartilaginous trachea	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Type 3 total anomalous pulmonary venous connection	None
Infracardiac total anomalous pulmonary venous connection	None
Central apnea	None
Central apnoea	None
Narrowing of windpipe	None
Tracheal stenosis	None
Hypopnea	None
Lung abscess	None
Susceptibility to respiratory infections	None
Multiple respiratory infections	None
respiratory infections, recurrent	None
Recurrent respiratory infections	None
Frequent respiratory infections	None
Tracheal neoplasm	None
Neoplasm of the trachea	None
Laryngeal cyst	None
Absent lung vessels	None
Agenesis of pulmonary vessels	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Elevated pulmonary artery pressure	None
Multiple bilateral pneumothoraces	None
Pulmonary opacity	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Abnormal larynx morphology	None
Progressive pulmonary function impairment	None
Pulmonary hemorrhage	None
Intrapulmonary hemorrhage	None
Respiratory distress, neonatal	None
Neonatal respiratory distress	None
Newborn respiratory distress	None
Infantile respiratory distress	None
Multiple lung cysts	None
Multiple pulmonary cysts	None
Cystic lung disease	None
Immotile cilia	None
Abnormally shaped lung	None
Abnormality of the lungs	None
Abnormal lung morphology	None
Unusal lung shape	None
Abnormality of lung morphology	None
Lung disease	None
Abnormality of the respiratory system	None
Respiratory abnormality	None
Partial anomalous pulmonary venous return	None
Partial anomalous pulmonary venous connection	None
Abnormality of respiratory circulation	None
Abnormal pulmonary circulation	None
Abnormality of pulmonary circulation	None
Inspiratory crackles	None
Pleural mesothelioma	None
Abnormal axonemal organization of respiratory motile cilia	None
Apneic episodes in infancy	None
Acute infectious pneumonia	None
Oxygen desaturation on exertion	None
O2 desaturation on exertion	None
Abnormal saccharine test	None
Impaired nasal mucociliary clearance	None
Bronchitis	None
Intermittent hyperpnea at rest	None
Tracheal atresia	None
Decreased pre bronchodilator forced vital capacity	None
Decreased pre-bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Runny Nose	None
Rhinorrhea	None
Nasal Discharge	None
Hypersensitivity pneumonitis	None
Pulmonary fibrosis	None
Primary pulmonary dysgenesis, unilateral	None
Unilateral primary pulmonary dysgenesis	None
Pharyngitis, recurrent	None
Recurrent sore throat	None
Recurrent pharyngitis	None
Oat cell carcinoma of lung	None
Small cell lung carcinoma	None
Small cell lung cancer	None
Oat cell lung cancer	None
Absent respiratory ciliary axoneme radial spokes	None
Transudative pleural effusion	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Bronchospasm	None
Acrocyanosis	None
Persistent blue color of hands, feet, or parts of face	None
Pyothorax	None
Pleural empyema	None
Abnormality of the vocal cords	None
Abnormal vocal cord morphology	None
Laryngotracheal stenosis	None
Scleroderma lung disease	None
Lung disease with systemic sclerosis	None
Scleroderma of lung	None
Bilateral basilar pulmonary fibrosis	None
Episodic difficulty breathing	None
Episodic respiratory distress	None
respiratory distress, episodic	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Exercise-induced asthma	None
Hypoplastic larynx	None
Laryngeal hypoplasia	None
Respiratory muscle weakness	None
Decreased respiratory function due to muscle weakness	None
Respiratory insufficiency due to muscle weakness	None
Decreased lung function due to weak breathing muscles	None
Respiratory failure due to muscle weakness	None
Respiratory distress due to muscle weakness	None
Orthopnea	None
Bronchomalacia	None
Pulmonary artery stenosis	None
Narrowing of lung artery	None
Abnormal cell morphology	None
Abnormal cellular phenotype	None
Increased circulating IgG2 level	None
Decreased circulating IgG1 level	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Decreased immunoglobulin level	None
Reduced immunoglobulin levels	None
Decreased antibody level in blood	None
Immunoglobulin deficiency	None
Hypogammaglobulinemia	None
Decreased serum immunoglobulin	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Decreased serum IgG	None
IgG deficiency	None
Decreased gamma-globin expression	None
Decreased IgG level	None
Reduced IgG levels	None
Decreased circulating IgG level	None
Decreased immunoglobulin G	None
Abnormal flow cytometry test rest	None
Intranuclear cardiomyocyte mitochondria	None
Respiratory complex III deficiency	None
Decreased activity of mitochondrial complex III	None
Reduced granulocyte CD18 level	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Monoclonal elevation of IgG kappa chain	None
Reduced natural killer cell activity	None
Polyclonal elevation of IgM	None
Increased sensitivity to ionising radiation	None
Increased sensitivity to ionizing radiation	None
Increased circulating IgG4 level	None
Abnormal cardiomyocyte plakoglobin staining	None
Reduced granulocyte CD59 level	None
Polyclonal elevation of circulating IgG	None
Increased anti-dust mite IgE antibody level	None
Increased level of anti-dust mite IgE antibody	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Cardiomyocyte hypertrophy	None
Myocyte cellular hypertrophy	None
Impaired B-lymphocyte isotype switching	None
Impaired Ig class switch recombination	None
Increased anti-nut food product IgE antibody level	None
Flexner-Wintersteiner rosette	None
Decreased plasma carnitine	None
Carnitine deficiency	None
IgG heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
Perivascular pseudorosette	None
Decreased activity of 3-hydroxyacyl-CoA dehydrogenase	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Deficiency or absence of cytochrome b(-245)	None
Deficiency or absence of cytochrome b	None
Increased anti-animal dander IgE antibody level	None
Increased level of anti-dander IgE antibody	None
Abnormality of chromosome condensation	None
Abnormal cadiomyocyte dystrophin staining	None
Monoclonal elevation of IgG	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Abnormality of glycosaminoglycan metabolism	None
Abnormal immunoglobulin concentration	None
Abnormal serum immunoglobulin concentration	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal serum level of immunoglobulin	None
Increased level of anti-bacteria IgE antibody	None
Increased anti-bacteria IgE antibody level	None
Prolonged G2 phase of cell cycle	None
Abnormal iron deposition in mitochondria	None
Decreased specific antibody response to infection	None
IgD hypergammaglobulinemia	None
Increased circulating IgD level	None
Increased serum IgD	None
Elevated serum IgD	None
Increased IgD level	None
Increased levels of IgD	None
Elevated IgD	None
Decreased activity of the pyruvate dehydrogenase complex	None
Pyruvate dehydrogenase complex deficiency	None
Decreased activity of the PDH complex	None
Whole-immunoglobulin paraproteinemia	None
Absent natural antibody to blood group agents	None
Absent isohemagglutinin level	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Abnormal CD69 upregulation upon TCR activation	None
Decreased mitochondrial number	None
Pineocytomatous rosette	None
Neurocytic rosette	None
Chromosomal breakage induced by mitomycin C	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by crosslinking agents	None
Abnormal mitochondria in muscle tissue	None
Abnormal mitochondria in muscle	None
Mitochondrial depletion	None
Increased anti-alpha-gal IgE antibody level	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Absence of delayed hypersensitivity skin test	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Abnormality of cell physiology	None
Abnormal cellular physiology	None
Abnormal B cell proliferation	None
Decreased specific antibody response to protein vaccine	None
Specific pneumococcal antibody deficiency	None
Defective DNA repair after ultraviolet radiation damage	None
Increased anti-house dust mite IgE antibody level	None
Increased anti-house dust IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Specific antibody deficiency	None
Decreased circulating level of specific antibody	None
Decreased specific antibody in blood	None
Abnormality of lysosomal metabolism	None
Decreased circulating total IgA	None
Total immunoglobulin A deficiency	None
Decreased total IgA in blood	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Deficiency of delayed skin hypersensitivity	None
Reduced delayed hypersensitivity	None
Impaired delayed hypersensitivity	None
Decreased reactivity to skin test antigens	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Endopolyploidy on chromosome studies of bone marrow	None
Increased hepatitis A virus antibody level	None
Decreased circulating IgG3 level	None
Decreased specific antibody response to vaccination	None
Increased anti-insect IgE antibody level	None
Defective B cell differentiation	None
IgE deficiency	None
Decreased circulating total IgE	None
Decreased IgE	None
Monoclonal elevation of IgG heavy chain	None
Oligoclonal elevation of circulating IgA	None
Abnormal isohemagglutinin level	None
Abnormal level of natural antibody to blood group agents	None
Light-chain paraproteinemia	None
Elevated intracellular cystine	None
Depressed antibody response to polysaccharide antigens	None
Specific anti-polysaccharide antibody deficiency	None
Increased mitochondrial number	None
Folate-dependent fragile site at Xq28	None
Chronic decreased circulating total IgG	None
Abnormal CD25 upregulation upon TCR activation	None
Abnormal cardiomyocyte connexin43 staining	None
Rectilinear profiles ultrastructurally	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Abnormal cardiomyocyte mitochondrial morphology	None
Increased anti-meat allergen IgE antibody level	None
Abnormal telomere morphology	None
Cellular hypersensitivity to mitomycin C	None
Increased IgG level	None
Increased levels of IgG	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Oligoclonal elevation of circulating IgG	None
Decreased plasma total carnitine	None
Increased level of anti-animal protein IgE antibody	None
Increased anti-animal protein IgE antibody level	None
Panhypogammaglobulinemia	None
Panypogammaglobulinemia	None
Zebra bodies	None
Monoclonal immunoglobulin M proteinemia	None
Waldenstrom macroglobulinemia	None
Abnormality of DNA repair	None
Monoclonal elevation of circulating IgE	None
Decreased natural antibody to blood group agents	None
Reduced isohemagglutinin level	None
High frequency of chromosome breaks in lymphocytes	None
Chromosome breakage	None
Multiple chromosomal breaks	None
Increased chromosomal breakage	None
Tendency to chromosomal breakage	None
Increased chromosomal breakage rate	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Respiratory complex IV deficiency	None
Decreased activity of mitochondrial complex IV	None
Increased circulating specific IgE antibody	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Abnormal IgM level	None
Intracellular accumulation of autofluorescent lipopigment storage material	None
Increased circulating IgG3 level	None
Impaired activated T cell proliferation	None
Impaired cellular adaptive immune response	None
Reduced antigen-specific T cell proliferation	None
Antigen-specific T cell proliferation defect	None
Impaired Ag-specific T cell proliferation	None
Polyclonal elevation of circulating IgE	None
Reduced fibroblast CD16 level	None
Alpha heavy chain disease	None
IgA heavy chain paraproteinemia	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
Abnormal buccal mucosa cell morphology	None
Decreased specific antibody response to polysaccharide vaccine	None
Reduced granulocyte CD55 level	None
Reduced fibroblast CD59 level	None
Abnormal IgD level	None
Abnormal mitochondrial shape	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Decreased circulating total IgG	None
Abnormal lymphocyte apoptosis	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Abnormality of the cell cycle	None
Reduced reactive oxygen species production in neutrophils	None
Abnormal lymphocyte physiology	None
Abnormal T cell proliferation	None
3-Methylglutaric aciduria	None
3-methylglutaricaciduria	None
Reduced granulocyte surface marker level	None
Premature separation of centromeric heterochromatin	None
Increased reactive oxygen species production	None
Oxidative stress	None
Increased ROS production	None
Increased rate of premature chromosome condensation	None
Transient decreased circulating total IgG	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Immunoglobulin IgG2 deficiency	None
Decreased circulating IgG2 level	None
Reduced IgG2 levels	None
Increased susceptibility to spontaneous sister chromatid exchange	None
Decreased lymphocyte apoptosis	None
