Abnormality of taste sensation	HP:0000223
Disproportionately short middle phalanges	None
Shortening of all middle phalanges of the fingers	None
Absent epiphysis of the proximal phalanx of the 5th toe	None
Absent end part of the innermost bone of the pinky toe	None
Absent end part of the innermost bone of the pinkie toe	None
Absent end part of the innermost bone of the little toe	None
Symphalangism affecting the proximal phalanx of the 3rd toe	None
Fused innermost bone of 3rd toe	None
Bullet-shaped middle bone of the 4th toe	None
Bullet-shaped middle phalanx of the 4th toe	None
Triangular shaped phalanges of the 2nd finger	None
Triangular bones of index finger	None
Triangular index finger phalanges	None
Cone-shaped end part of the innermost bone of the 3rd toe	None
Cone-shaped epiphysis of the proximal phalanx of the 3rd toe	None
Fragmentation of end part of the middle long bone of the index finger	None
Fragmentation of the epiphysis of the middle phalanx of the 2nd finger	None
Torn meniscus	None
Flexion contracture of the hallux	None
Joint contracture of the big toe	None
Joint contracture of the hallux	None
Rhomboid or triangular shaped 5th finger middle phalanx	None
Rhomboid or triangular shaped fifth finger middle phalanx	None
Dysplastic acetabulae	None
Acetabular dysplasia	None
Unilateral radial aplasia	None
Finger flexor weakness	None
Bullet-shaped bones of the 2nd toe	None
Bullet-shaped phalanges of the 2nd toe	None
Bullet-shaped 2nd toe phalanx	None
Shortening of the shankbone	None
Marked shortening of tibia	None
Shortening of the shinbone	None
Shortening of the tibia	None
Abnormality of dorsoventral patterning of the limbs	None
Split-foot	None
Split foot	None
Foot ectrodactyly	None
Lobster-claw foot deformity	None
Absent/underdeveloped ankle bone	None
Absent/small ankle bone	None
Aplastic/hypoplastic tarsals	None
Aplasia/Hypoplasia of the tarsal bones	None
Tarsal bone osteolysis	None
Tarsal osteolysis	None
Osteolysis involving tarsal bones	None
Enlarged epiphysis of the proximal phalanx of the 3rd finger	None
Enlarged end part of innermost long bone of the middle finger	None
Large epiphysis of proximal middle-finger phalanx	None
Absent end part of the 3rd toe	None
Absent epiphyses of the 3rd toe	None
Stippling of the epiphysis of the middle phalanx of the 2nd finger	None
Speckled calcifications in end part of the middle bone of the index finger	None
Wrist swelling	None
Ivory epiphysis of the distal phalanx of the 5th toe	None
Increased bone density of end part of the outermost bone of the little toe	None
Increased bone density of end part of the outermost bone of the pinky toe	None
Increased bone density of end part of the outermost bone of the pinkie toe	None
Abnormality of the lunate bone	None
Polydactyly affecting the 3rd finger	None
Extra middle finger	None
Sclerosis of the middle phalanx of the 3rd toe	None
Increased bone density in the middle bone of the 3rd toe	None
Cone-shaped epiphyses of the middle phalanges of the hand	None
Cone-shaped end part of the middle hand bones	None
Cone-shaped epiphyses of middle phalanges	None
Triangular shaped innermost pinky finger bone	None
Triangular shaped proximal phalanx of the 5th finger	None
Triangular shaped innermost little finger bone	None
Triangular shaped innermost pinkie finger bone	None
Hypersegmentation of proximal phalanx of second finger	None
Bracket epiphyses of the 3rd finger	None
Bracket shaped end part of middle finger bone	None
Multicentric ossification of proximal femoral epiphyses	None
Small end part of the middle bone of the pinky toe	None
Small end part of the middle bone of the pinkie toe	None
Small end part of the middle bone of the little toe	None
Small epiphysis of the middle phalanx of the 5th toe	None
Stippling of the epiphysis of the proximal phalanx of the hallux	None
Speckled calcifications in the end part of the innermost bone of the big toe	None
Shoulder girdle atrophy	None
Shoulder-girdle muscle atrophy	None
Shoulder girdle muscle wasting	None
Shoulder girdle muscle atrophy	None
Excess nuchal skin	None
Thickened skin folds of neck	None
Thickened skin over the neck	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Thickened nuchal skin	None
Abnormalities of placenta or umbilical cord	None
Only one artery in umbilical cord instead of two	None
2 vessel cord	None
Single umbilical artery	None
Two vessel umbilical cord	None
Two vessel cord	None
2 vessel umbilical cord	None
Short umbilical cord	None
Abnormality of prenatal development or birth	None
Prenatal movement abnormality	None
Abnormal intrauterine movements	None
Reduced fetal movements	None
Decreased fetal movements	None
Decreased fetal movement	None
Fetal hypokinesia	None
Less than 10 fetal movements in 12 hours	None
Reduced fetal movement	None
Decreased fetal activity	None
Decreased movement in utero	None
Abnormality of the amniotic fluid	None
Abnormal amniotic fluid	None
High levels of amniotic fluid	None
Hydramnios	None
Polyhydramnios	None
Maternal oligohydramnios	None
Low levels of amniotic fluid	None
Oligohydramnios	None
Fetal polyuria	None
Shortened gestation time	None
Premature birth	None
Premature delivery of affected infants	None
Premature delivery	None
Preterm delivery	None
Breech presentation at birth	None
Feet or buttocks of fetus positioned near opening of uterus	None
Breech presentation	None
Abnormal delivery	None
Delivery complication	None
Premature rupture of membranes	None
Hydrops fetalis	None
Non-immune fetal hydrops	None
Hydrops fetalis, non-immune	None
Hydrops fetalis, nonimmune	None
Nonimmune hydrops fetalis	None
Nonimmune hydrops	None
Fetal ascites	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Prenatal maternal abnormality	None
Maternal health problem	None
Severe hydrops	None
Severe hydrops fetalis	None
Premature birth following premature rupture of fetal membranes	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Miscarriage	None
Spontaneous abortion	None
Small placenta	None
Placental enlargement	None
Large placenta	None
Maternal hypertension	None
Maternal virilization in pregnancy	None
Low maternal serum estriol	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Amniotic constriction ring	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Amniotic constriction rings of arms	None
Amniotic constriction rings of digits	None
Digital constriction ring	None
Amniotic constriction rings of legs	None
Fetal hyperkinesia	None
Increased fetal movement	None
Low maternal serum alpha-fetoprotein	None
Frank breech presentation	None
Complete breech presentation	None
Incomplete breech presentation	None
Fetal cystic hygroma	None
Increased nuchal translucency	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Echogenic intracardiac focus	None
Echogenic fetal bowel	None
Echogenic bowel	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Fetal renal pelvic dilatation	None
Abnormality of umbilical vein blood flow	None
Absence of stomach bubble on fetal sonography	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Abnormal umbilical cord blood vessels	None
Abnormality of placental membranes	None
Caesarian section	None
Forceps delivery	None
Vacuum extraction	None
Vacuum-assisted vaginal delivery	None
Ventouse delivery	None
Shoulder dystocia	None
Hydropic placenta	None
Hydrops of the placenta	None
Calcified placenta	None
Placental thromboembolism	None
Placental infarction	None
Long umbilical cord	None
Abnormal insertion of umbilical cord	None
Vasa previa	None
Abruptio placentae	None
Placental abruption	None
Fetal ultrasound soft marker	None
Fetal choroid plexus cysts	None
Enlarged fetal cisterna magna	None
Short fetal thigh bone length	None
Short fetal femur length	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Underdeveloped fetal nose bone	None
Hypoplasia of fetal nasal bone	None
Fetal pinkie finger curvature	None
Fetal little finger curvature	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
High maternal serum alpha-fetoprotein	None
High maternal serum chorionic gonadotropin	None
High maternal serum hCG	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
Low maternal serum PAPP-A	None
Abnormal maternal serum screening	None
Maternal autoimmune disease	None
Maternal teratogenic exposure	None
Hyperemesis gravidarum	None
Meconium-stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Meconium stained amniotic fluid	None
Nuchal cord	None
Maternal anticardiolipin antibody positive	None
Cephalohaematoma	None
Cephalohematoma	None
Skewed maternal X inactivation	None
Abnormal placental size	None
Fetal distress	None
Maternal fever in pregnancy	None
Maternal fever during pregnancy	None
Maternal fever during labor	None
Intrapartum fever	None
Maternal first trimester fever	None
Primary Caesarian section	None
Secondary Caesarian section	None
Vaginal birth after Caesarian	None
Delivery by Odon device	None
Induced vaginal delivery	None
Therapeutic abortion	None
Umbilical cord cyst	None
Umbilical cord knot	None
Umbilical vein varix	None
Umbilical cord hematoma	None
Umbilical cord haematoma	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Velamentous cord insertion	None
Furcate cord insertion	None
Breus' mole	None
Subchorionic thrombohematoma	None
Subchorionic septal cyst	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Amniotic Sheet	None
Amniotic shelf	None
Low APGAR score	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
5-minute APGAR score of 0	None
5-minute APGAR score of 1	None
5-minute APGAR score of 2	None
5-minute APGAR score of 3	None
5-minute APGAR score of 4	None
5-minute APGAR score of 5	None
5-minute APGAR score of 6	None
1-minute APGAR score of 0	None
1-minute APGAR score of 1	None
1-minute APGAR score of 2	None
1-minute APGAR score of 3	None
1-minute APGAR score of 4	None
1-minute APGAR score of 5	None
1-minute APGAR score of 6	None
Twin to twin transfusion syndrome	None
Twin-to-twin transfusion	None
Postterm pregnancy	None
Female fetal virilization	None
Pregnancy exposure	None
Exposure during pregnancy	None
Ectopic pregnancy	None
Placental mesenchymal dysplasia	None
Hydatidiform mole	None
Lemon sign	None
Delayed umbilical cord separation	None
Neonatal omphalitis	None
Omphalitis	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Four-vessel umbilical cord	None
Increased placental thickness	None
Placental thickness increased	None
Maternal thrombophilia	None
Eclampsia	None
Preeclampsia	None
Pre-eclampsia	None
Toxemia of pregnancy	None
Hypertensive disorder of pregnancy	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Maternal seizures	None
Placental issue	None
Abnormality of the placenta	None
Choriocarcinoma	None
Chorangioma	None
Placental hamartoma	None
Spontaneous abortion, recurrent	None
Recurrent spontaneous abortion	None
Abnormal cord blood measurement	None
Abnormal blood gas level in cord blood	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Hypercapnia in cord blood	None
High cord blood carbon dioxide level	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Abnormal oxygen level in cord blood	None
Abnormal O2 level in cord blood	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Hearing loss, conductive	None
Conductive hearing impairment	None
Conductive deafness	None
Conductive hearing loss	None
Conduction deafness	None
Absent antihelix	None
Increased incisura width	None
Hypoplastic pinna	None
Bilateral microtia	None
Microtia	None
Underdeveloped ears	None
Hypoplastic ears	None
Hypoplasia of the external ear	None
Small ears	None
Small pinnae	None
Earlobe crease	None
Anterior creases of earlobe	None
Transverse earlobe creases	None
Small earlobe	None
Hypoplastic lobules	None
Hypoplastic earlobes	None
Small earlobes	None
Impairment of the the acoustic reflex	None
Prominent ear helix	None
Large helix	None
Posterior wedging	None
Congenital earlobe sinuses	None
Hypertrophic auricular cartilage	None
Abnormality of the ear	None
Ear anomaly	None
Abnormally folded helix	None
Abnormality of the tragus	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Profound sensorineural hearing impairment	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Endolymphatic sac tumor	None
Aggressive papillary middle ear tumor	None
Heffner tumor	None
Abnormality of superior crus of antihelix	None
Abnormality of posterior crus of antihelix	None
Abnormality of the oval window	None
Abnormality of the vestibular window	None
Middle ear malformation	None
Morphological abnormality of the middle ear	None
Abnormal vestibulo-ocular reflex	None
Abnormal vestibuloocular reflex	None
Type I cryptotia	None
Type 1 cryptotia	None
Hyperplastic helix crus	None
Hypertrophic helix crus	None
Prominent crus of helix	None
Helix, crus, prominent	None
Abnormal prominence of the crus of the ear	None
Bifid antitragus	None
Double antitragus	None
Aminoglycoside-induced hearing loss	None
Antihelix, inferior crus, broad	None
Broad inferior crus of antihelix	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Third-degree microtia	None
Hypotrophic antitragus	None
Hypoplastic antitragus	None
Small antitragus	None
Underdeveloped antitragus	None
Profound hearing impairment	None
Osseous atresia of the external auditory canal	None
High frequency sensorineural hearing impairment	None
High-tone sensorineural deafness	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural hearing impairment	None
Functional abnormality of the middle ear	None
Underfolded superior helices	None
Absent inner ear	None
Aplasia of the labyrinth	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the inner ear	None
Everted antitragus	None
Impacted cerumen	None
Abnormality of stem of antihelix	None
Notched helix	None
Notching of the ear helix	None
Cleft helix	None
Absent stapes head	None
Abnormal inner ear epithelium morphology	None
Aplasia/Hypoplasia of the tragus	None
Absent/small tragus	None
Absent/underdeveloped tragus	None
Hypoplastic antihelix	None
Hypoplasia of the antihelix	None
Crumpled ear	None
Overfolding of the superior helices	None
Overfolding of superior helix	None
Low-frequency sensorineural hearing impairment	None
Low-frequency sensorineural hearing loss	None
Conchal shelf	None
Antihelical shelf	None
Enlarged semicircular canal	None
Dilated semicircular canal	None
Incomplete partition of the cochlea	None
Moderate hearing impairment	None
Cleft at the superior portion of the ear	None
Cleft at the superior portion of the pinna	None
Excessive cerumen	None
Abnormality of the antitragus	None
Pulsatile tinnitus	None
Extra concha fold	None
Concha, Extra Fold	None
Abnormal number of tubercles	None
Presbycusis	None
Old-aged sensorineural hearing impairment	None
Vestibular saccular degeneration	None
Basalioma of the outer ear	None
Otitis media with effusion	None
Fluid behind eardrum	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Morphological abnormality of the anterior semicircular canal	None
Progressive cochlear degeneration	None
Cochlear degeneration	None
Middle ear abnormality	None
Middle ear abnormalities	None
Abnormality of the middle ear	None
Abnormal incisura morphology	None
Abnormality of the malleus	None
Dizziness	None
Vertigo	None
Dizzy spell	None
Cleft earlobe	None
Morphological abnormality of the utricle	None
Dilated vestibule of the inner ear	None
Stapes ankylosis	None
Functional abnormality of the inner ear	None
Long ears	None
Long ear	None
Morphological abnormality of the lateral semicircular canal	None
Morphological abnormality of the horizontal semicircular canal	None
Hearing abnormality	None
Abnormal hearing	None
Late sensorineural hearing loss	None
Sensorineural deafness, late-onset	None
Adult onset sensorineural hearing impairment	None
Asymmetry of the ears	None
Asymmetric ears	None
Enlarged vestibular aqueduct	None
Widened vestibular aqueduct	None
Dilated vestibular aqueduct	None
Squared superior portion of helix	None
Large earlobe	None
prominent ear lobules	None
Fleshy earlobes	None
Prominent ear lobes	None
Fleshy earlobe	None
Vestibular ataxia	None
Vestibular areflexia	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Devil ear	None
Satyr ear	None
Aplasia/Hypoplasia of the cochlea	None
Absent/underdeveloped cochlea	None
Absent/small cochlea	None
Absent ear	None
Absent ears	None
Anotia	None
Congenital absence of external ear	None
Abnormality of the reflex of the tensor tympani muscle	None
Morphological abnormality of the vestibule of the inner ear	None
Vestibular abnormality	None
Prominent superior crus of antihelix	None
Hyperplastic superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Antihelix, stem, serpiginous	None
Serpiginous stem of antihelix	None
Underdeveloped superior helices	None
Hypoplastic superior helix	None
Mid-frequency hearing loss	None
Cerumen abnormality	None
Neoplasm of the outer ear	None
Outer ear tumor	None
Absent stapes	None
Cochlear malformation	None
Abnormal doll's eye reflex	None
Buried ear	None
Cryptotia	None
Hidden ear	None
Morphological abnormality of the inner ear	None
Expanded terminal portion of crus of helix	None
Helix, crus, expanded terminal portion	None
Bilateral external ear deformity	None
Neoplasia of the middle ear	None
Middle ear tumor	None
Neoplasm of the middle ear	None
Persistent stapedial artery	None
Chronic middle ear infection	None
Chronic ear infection	None
Otitis media, chronic	None
Chronic infections of the middle ear	None
Chronic otitis media	None
Recurrent infections of the middle ear	None
Abnormality of the round window	None
Underdeveloped stem of antihelix	None
Antihelix, stem, underdeveloped	None
Type II cryptotia	None
Type 2 cryptotia	None
Absent eustachian tube	None
Aplasia of the Eustachian tube	None
Underdeveloped ear cartilage	None
Hypoplasia of the ear cartilage	None
Microtia, second degree	None
Mini ear	None
Shell ear	None
Cockleshell ear	None
Severe cupped ear, type III	None
Ear, grade II dysplasia	None
Constricted helix type IV	None
Snail ear	None
Cutaneous atresia of the external auditory canal	None
Additional crus of antihelix	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Severe deafness	None
Severe hearing impairment	None
Severe hearing loss	None
Diagonal earlobe crease	None
Prominent antihelix	None
Severe conductive hearing impairment	None
Conductive hearing loss, severe	None
Cholesteatoma	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Paroxysmal vertigo	None
Abnormality of cartilage of external ear	None
Absent/underdeveloped external ear	None
Absent/small external ear	None
Aplasia/Hypoplasia of the external ear	None
Short ears	None
Short ear	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Darwin tubercle of helix	None
Helix, Darwin tubercle	None
Congenital conductive hearing loss	None
Congenital conductive hearing impairment	None
Congenital conductive deafness	None
Abnormal middle ear reflexes	None
Narrow internal auditory canal	None
Incomplete partition of the cochlea type I	None
Cystic lesions of the pinnae	None
Unilateral conductive hearing impairment	None
Synotia	None
Large fleshy ears	None
Open tuba eustachii	None
Patent tuba eustachii	None
Mixed hearing impairment	None
Mixed hearing loss	None
Hearing loss, mixed	None
Abnormal cerumen pigmentation	None
Abnormal cerumen color	None
Abnormal cerumen colour	None
Abnormality of the cochlear nerve	None
Bifid tragus	None
Notched tragus	None
Tragus, bifid	None
Mild conductive hearing impairment	None
Conductive hearing loss, mild	None
Malformed ossicles	None
Ossicular malformation	None
Abnormality of the middle ear ossicles	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Hearing defect	None
Congenital hearing loss	None
Hearing loss	None
Hypoacusis	None
Deafness	None
Congenital deafness	None
Hearing impairment	None
Otitis media	None
Middle ear infection	None
Mild neurosensory hearing loss	None
Mild neurosensory hearing impairment	None
Morphological abnormality of the posterior semicircular canal	None
External ear malformations	None
Abnormal pinnae	None
Malformed pinnae	None
Ear anomalies	None
Abnormality of the outer ear	None
Abnormality of the auricle	None
Outer ear abnormality	None
Abnormality of the external ear	None
Mozart ear	None
Glue ear	None
Abnormality of inferior crus of antihelix	None
Abnormality of anterior crus of antihelix	None
External ear malformation	None
Swimmer's ear	None
Otitis externa	None
Ear hair	None
Long hairs growing from helix of pinna	None
Long hairs growing from helix of ear	None
Postlingual sensorineural hearing impairment	None
Serpiginous crus of helix	None
Helix, crus, serpiginous	None
Abnormality of the vestibular nerve	None
Aplasia/Hypoplasia of the middle ear	None
Absent/small middle ear	None
Hypoplastic/aplastic middle ear structures	None
Absent/underdeveloped middle ear	None
Middle ear hypoplasia/aplasia	None
External ear position defect	None
Abnormal location of ears	None
Asymmetry of the shape of the ears	None
Abnormal ear morphology	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Hypotrophic inferior crus of antihelix	None
Hypoplastic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Darwin notch of helix	None
Helix, Darwin notch	None
Impairment of the reflex of the tensor tympani muscle	None
Severe sensorineural deafness	None
Severe sensorineural hearing loss	None
Severe sensorineural hearing impairment	None
Minor malformation of the auricles	None
Deformed ears	None
Dysplastic ears	None
Deformed auricles	None
Abnormality of the pinna	None
Malformed ears	None
Abnormally shaped ears	None
Poorly defined conchae	None
Abnormal form of ears	None
Malformed external ears	None
Malformation of auricle	None
Malformed auricles	None
Auricular malformation	None
Fusion of middle ear ossicles	None
Horizontal crus of helix	None
Horizontal orientation of the ear crus	None
Horizontal orientation of the crus of helix	None
Helix, crus, horizontal	None
Hypertrophic inferior crus of antihelix	None
Prominent inferior crus of antihelix	None
Hyperplastic inferior crus of antihelix	None
Antihelix, inferior crus, prominent	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormal lobe of ear	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
Abnormality of earlobe	None
Acute otitis media	None
Acute middle ear infection	None
Enlarged antitragus	None
Hyperplastic antitragus	None
Prominent antitragus	None
Hypertrophic antitragus	None
Abnormality of the Eustachian tube	None
Osseous stenosis of the external auditory canal	None
Anteverted ears	None
Fleshy upturned lobules	None
Lobe, uplifted	None
Uplifted earlobe	None
Upturned earlobe	None
Upturned earlobes	None
Uplifted earlobes	None
Poorly folded helices	None
Underfolded helix	None
Aplasia of the eighth cranial nerve	None
Aplasia of cranial nerve VIII	None
Absent the eighth cranial nerve	None
Absent cranial nerve viii	None
Aplasia of the vestibular nerve.	None
Absent vestribular nerve	None
Tympanosclerosis	None
Tympanic calcification	None
Hypoplastic superior crus of antihelix	None
Underdeveloped superior crus of antihelix	None
Hypotrophic superior crus of antihelix	None
Morphological abnormality of the saccule	None
Increased incisura length	None
Enlarged tragus	None
Large tragus	None
Tragus, prominent	None
Hyperplastic tragus	None
Prominent tragus	None
Hypertrophic tragus	None
Abnormal auditory reflex	None
Abnormal middle-ear-muscles (MEM) reflex	None
Abnormality of stapedial reflex	None
Abnormality of the acoustic reflex	None
Prelingual sensorineural hearing impairment	None
Deafness, sensorineural, prelingual	None
Prelingual sensorineural deafness	None
Underdeveloped helices	None
Hypoplastic helices	None
Superiorly displaced ears	None
High set ears	None
Childhood onset sensorineural hearing impairment	None
Question mark ear	None
Constricted ear	None
Cosman ear	None
Question mark ears	None
Uneven ears	None
Asymmetry of the position of the ears	None
Sensorineural hearing loss	None
Hearing loss, sensorineural	None
Sensorineural hearing impairment	None
Sensorineural deafness	None
Obstruction of Eustachian tube	None
Blocked Eustachian tube	None
Abnormal vestibular saccule morphology	None
Linear earlobe crease	None
Discontinuous ascending root of helix	None
Helix, discontinuous ascending root	None
Bilateral sensorineural hearing impairment	None
Bilateral sensorineural hearing loss	None
Bilateral nerve deafness	None
Bilateral sensorineural deafness	None
Hearing loss, sensorineural, bilateral	None
Round ear	None
Auricular tag	None
Polyotia	None
Progressive high-frequency hearing loss	None
Progressive high frequency hearing loss	None
High-frequency deafness	None
High-frequency hearing impairment	None
High frequency hearing loss	None
Hearing loss, high-frequency	None
Crus of helix connected to antihelix	None
Helix, crus, connected to antihelix	None
Underdeveloped tragus	None
Hypoplastic tragus	None
Small tragus	None
Hypotrophic tragus	None
Limb joint contracture	None
Limb contractures	None
Abnormality of mylohyoid muscle	None
Generalized muscle wasting	None
Generalized limb muscle atrophy	None
Generalized muscle atrophy, proximal and distal	None
Scapuloperoneal myopathy	None
5th finger camptodactyly	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Biceps hypoplasia	None
Hypoplastic biceps	None
Underdeveloped biceps	None
Myotonia of the lower limb	None
Myotonia of the face	None
Ankle weakness	None
Partial abdominal muscle agenesis	None
Finger flexor weakness	None
Tetany	None
Intermittent involuntary muscle spasm	None
Abnormality of the musculature of the upper arm	None
Abnormality of levator labii superioris alaeque nasi muscle	None
Congenital foot contractures	None
Peroneal muscle atrophy	None
Peroneal atrophy	None
Paraspinal muscle hypertrophy	None
Inflammatory myopathy	None
Proximal muscle wasting	None
Proximal muscle atrophy	None
Symmetric proximal muscular atrophy	None
Muscle atrophy, proximal	None
Symmetrical, proximal limb muscle atrophy	None
Wasting of muscles near the body	None
Proximal amyotrophy	None
Proximal limb muscle weakness	None
Proximal muscle weakness	None
Weakness in muscles of upper arms and upper legs	None
Proximal neurogenic muscle weakness	None
Muscle weakness, proximal	None
Proximal limb weakness	None
Cold-sensitive myotonia	None
Muscle fiber tubuloreticular aggregates	None
Muscle fiber tubuloreticular inclusions	None
Severe muscular hypotonia	None
Severely decreased muscle tone	None
Hypotonia, severe	None
Fixed flexion at the elbow joint	None
Contractures of the elbows	None
Contractures of elbows	None
Elbow contracture	None
Elbow contractures	None
Contracture of elbow joint	None
Elbow flexion contracture	None
Elbow flexion contractures	None
Elbow flexion deformity	None
Contracture of the metatarsophalangeal joint of the 5th toe	None
Embryonal rhabdomyosarcoma	None
Contracture of the metatarsophalangeal joint of the 2nd toe	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Abnormality of axial muscles	None
Abnormal axial muscle morphology	None
Abnormality of tensor veli palatini muscle	None
Abnormal muscle fiber dystrophin expression	None
Amyotrophy of ankle musculature	None
Abnormality of orbicularis oris muscle	None
Type 1 muscle fiber predominance	None
Type I muscle fiber predominance	None
Underdevelopment of neck muscle	None
Small neck muscle	None
Decreased size of neck muscle	None
Deficiency of neck muscle	None
Neck muscle hypoplasia	None
Hypotrophic neck muscle	None
Restricted neck mobility due to contractures	None
Neck flexion contracture	None
Restricted neck movement due to contractures	None
Increased IM fat	None
Increased intramuscular fat	None
Abnormality of the left hemidiaphragm	None
Reduced muscle fiber perlecan	None
Late-onset distal muscle weakness	None
Hypotrophy of the small hand muscles	None
Degeneration of small hand muscles	None
Contracture of the metatarsophalangeal joint of the 3rd toe	None
Abnormal muscle fiber morphology	None
Abnormality of muscle fibers	None
Abnormal skeletal muscle fiber morphology	None
Autophagic vacuoles	None
Camptodactyly of 2nd-5th fingers	None
Abnormality of muscle size	None
Exercise-induced leg cramps	None
Increased muscle lipid droplets	None
Increased intramyocellular lipid droplets	None
Decreased muscle glycogen content	None
Absent muscle fiber emerin	None
Abnormality of procerus muscle	None
Abnormality of skeletal muscle fiber size	None
Flexion contractures of hips	None
Hip contractures	None
Hip flexion contractures	None
Flexion contracture of hips	None
Hip contracture	None
Congenital fibrosis of extraocular muscles	None
CFEOM	None
Congenital ophthalmoplegia	None
Congenital fibrosis of the extraocular muscles	None
Congenital extraocular muscle anomaly	None
EMG: slow motor conduction	None
Reduced muscle fiber lamin A/C	None
Muscle weakness, distal, progressive	None
Muscle weakness, progressive, distal	None
Progressive distal muscle weakness	None
Myotonia of the jaw	None
Hypoplasia of the musculature of the pelvis	None
Tibialis atrophy	None
Tibialis muscle degeneration	None
Functional motor problems	None
Functional motor deficit	None
Muscle fiber actin filament accumulation	None
Accumulation in muscle cells of filaments composed of actin.	None
EMG: incremental response of compound muscle action potential to repetitive nerve stimulation	None
Accumulation of muscle fiber valosin-containing protein	None
Eventration of the diaphragm	None
Diaphragmatic eventration	None
Late-onset muscular dystrophy	None
Contracture of the metacarpophalangeal joint of the 3rd finger	None
Myasthenia of facial muscles	None
Face weakness	None
Decreased facial muscle strength	None
Weakness of facial musculature	None
Reduced facial muscle strength	None
Facial weakness	None
Decreased strength of facial muscles	None
Facial muscle weakness	None
Weakness of face	None
Hypotonia, neonatal, generalized	None
Generalized neonatal hypotonia	None
Generalized low muscle tone in neonate	None
Reduced maximal inspiratory pressure	None
Aplasia/Hypoplasia of the biceps	None
Absent/small biceps	None
Absent/underdeveloped biceps	None
Reduced muscle fiber alpha sarcoglycan	None
Abnormal morphology of the musculature of the neck	None
Neck muscle issue	None
Abnormality of cervical musculature	None
Abnormality of the musculature of the neck	None
Abnormal muscle fiber laminin beta 1	None
Lower limb amyotrophy	None
Absent triceps	None
Triceps aplasia	None
Arthrogryposis-like hand anomaly	None
Abnormality of the hemidiaphragms	None
Abnormality of temporalis muscle	None
Hypoplasia of the upper arm musculature	None
Underdeveloped upper arm muscles	None
EMG: axonal abnormality	None
Lax abdominal musculature	None
Abdominal wall muscle weakness	None
Multiple joint contractures	None
Contractures of the large joints	None
Rhabdomyolysis with exercise	None
Exercise-induced rhabdomyolysis	None
Fat accumulation in muscle fibers	None
Lipid accumulation in skeletal muscle	None
Skeletal muscle lipid accumulation	None
Fat deposits in muscle fibers	None
Muscle lipidosis	None
Increased muscle lipid content	None
Abnormality of shoulder musculature	None
Abnormality of the shoulder girdle musculature	None
Camptodactyly of the ring finger	None
Camptodactyly of the 4th finger	None
Contracture of the proximal interphalangeal joint of the 4th finger	None
4th finger camptodactyly	None
Generalized weakness	None
Muscle weakness, generalized	None
Generalized muscle weakness	None
Muscle weakness, diffuse	None
Calf hypertrophy	None
Increased size of calf muscles	None
Calf muscle hypertrophy	None
